,楼盘名称,楼盘状态
0,滨望雅庭,在售
1,荣盛江荣府,在售
2,旭辉珺和府,在售
3,杭曜之城,待售
4,绿城桂语新月,在售
5,赞成星谷,在售
6,同协金座,在售
7,蓝城久宸里,在售
8,云悦湾,在售
9,世茂西溪宸悦,在售
10,天目观山月,在售
11,大华春山明月,在售
12,云水山居,在售
13,万科玖望,在售
14,凤起潮鸣,待售
15,世茂智慧之门,在售
16,中铁建国际公馆,在售
17,复地壹中心,在售
18,宋都阳光国际,在售
19,中港西湖院子,在售
20,金骏大厦,在售
21,九龙仓雍景山,在售
22,浅山,在售
23,滨湖天地,在售
24,万通中心,在售
25,诺德财富中心,在售
26,钱江浙商创投中心,在售
27,佳源未来府,在售
28,钱塘ONE,在售
29,众安恒隆广场,在售
30,世包国际中心,在售
31,时间名座玺寓,在售
32,鼎和金座,在售
33,悦青蓝,待售
34,公元帝景,在售
35,东海闲湖城,待售
36,文渊狮城,在售
37,泰禾野风大城小院,在售
38,星云,在售
39,永和之星,在售
40,临平新时代,在售
41,运河印,在售
42,绿地商业中心,在售
43,招商越秀公园1872,在售
44,东方世贸城,在售
45,宋都时间名座,在售
46,白鹭郡西,在售
47,万通中心,在售
48,盈都吾角商业中心,在售
49,汉港武林汇,在售
50,世包国际中心,在售
51,天骄香槟郡,在售
52,飘鹰富春江花苑,在售
53,云水山居,在售
54,山南印,在售
55,奥体万科中心,在售
56,富力湖滨悦居,在售
57,招商I-Park,在售
58,越秀星悦城,在售
59,佳源优樾,在售
60,中交财富中心,在售
61,东部之星,在售
62,万融城,在售
63,天骄香槟郡,在售
64,绿城云栖桃花源,在售
65,华夏之心,在售
66,万科公望,待售
67,奥克斯时代未来之城,在售
68,祥生云湖城,在售
69,山水时代,在售
70,励骏花园,在售
71,春江山居,在售
72,禹洲滨澜铭座,在售
73,金马高悦府,在售
74,富力御江山小区,在售
75,汇高栢悦中心,在售
76,华策中心,在售
77,柳溪湾,在售
78,朗诗溪涧雅庐,待售
79,春江山居,在售
80,运河万科中心,在售
81,滨虹商务中心,在售
82,中城汇MIDTOWN,在售
83,紫荆辰光,在售
84,绿地亚洲公园,待售
85,融创港印中心,在售
86,绿城青亭,在售
87,星光荟,在售
88,中冶锦绣公馆,待售
89,中冶锦绣公馆,在售
90,恒大御泉四季,在售
91,紫荆辰光,在售
92,悦湖湾花园,在售
93,北辰奥园,在售
94,竹悦山水轩,在售
95,钱塘ONE,在售
96,云安小镇,在售
97,理想银泰城,在售
98,嘉裕天城,在售
99,地铁万科杭行道,在售
100,世茂西溪宸悦,在售
101,绿城青亭商铺,待售
102,云都汇中心,在售
103,铂瑞悦府,在售
104,傲旋城,在售
105,云集金座,在售
106,融创森与海之城,在售
107,启迪协信科技城,在售
108,五幸银座,在售
109,杭州春树云筑,在售
110,海威天地,在售
111,云上金铭府,在售
112,奥体朝龙汇,在售
113,华夏之心,在售
114,碧桂园铂玺湾,在售
115,美的西径晓风,在售
116,美的西径晓风,在售
117,之江潮,在售
118,中骏临栖云府,在售
119,新湖金色池塘,在售
120,新湖金色池塘,在售
121,滨江定福阁,待售
122,国开东方锦城学府,在售
123,融创森与海之城,在售
124,绿都鉴未来,在售
125,水岸华府,在售
126,富阳宸光悦,在售
127,景顺铂悦城,在售
128,锦和云水江南,在售
129,保利欣品华庭,在售
130,东亚溪雅香舍,在售
131,千岛湖绿城桂语江南,在售
132,融信美好宝龙锦云澜天里,在售
133,凤凰府邸,在售
134,碧桂园万科悦望名邸,待售
135,镜象西湖,在售
136,赞成星谷,在售
137,傲旋城,在售
138,融创融耀之城,待售
139,江滨公望大厦,在售
140,柳岸晓风新都,在售
141,柳岸晓风新都,在售
142,玲珑郡,在售
143,德信空港城,在售
144,湖光山社,在售
145,未来七彩小镇,在售
146,地铁万科五常车辆段上盖,在售
147,世嘉铭座,在售
148,凤凰府邸,在售
149,澳海云樾赋,在售
150,江山云樾府,在售
151,润枫东润紫园,在售
152,赞成武林里,在售
153,湖印宸山庄,在售
154,碧桂园万科悦望名邸,在售
155,美麓美座,在售
156,港郦中心,在售
157,富春金茂星外滩·秦望府,在售
158,滨江旭辉滨旭府,在售
159,樟宜翠湾,在售
160,奥莱金街,在售
161,地铁万科彩虹天空之城,在售
162,天樾四季城,在售
163,天樾四季城,在售
164,千岛湖滨江城市之星,在售
165,佳源驭远玖墅,在售
166,越秀星汇中心,在售
167,海威天地,在售
168,佳源岛,在售
169,星创城映月璟园,待售
170,浅山,在售
171,杭房首望澜翠府,在售
172,百郦玲珑府,在售
173,阳光城檀瑞府,在售
174,中顺新澜悦,在售
175,弘涵望江月,在售
176,七彩星商业中心,在售
177,浅隐云庐,在售
178,银城青山湖畔,在售
179,申花印月,在售
180,瑞源邸,在售
181,臻奥院,在售
182,华景川科大.湖沁宸园,在售
183,中天翡玥府,在售
184,新希望锦翠栖源,在售
185,宁望府,在售
186,正荣鹤亭熙青府,待售
187,瀚悦宸邸,待售
188,沁悦宸轩,待售
189,海威天地,在售
190,迪凯金座,在售
191,春题杭玥府,在售
192,滨玺云著,在售
193,桐韵家园,在售
194,如沐清晖城,在售
195,中骏鼎湖未来云城,在售
196,华城茶语华邸,在售
197,兴耀岚漫之城,在售
198,星雅望居,待售
199,洺川名著,待售
200,银泰仙女湖小镇,待售
201,临之锦,在售
202,融信如澜,待售
203,望青府,待售
204,耦贤里,待售
205,耦贤里,待售
206,湖语牧松,在售
207,雨润星雨华府三期,在售
208,岫町华庭,待售
209,钱潮鸣翠云筑,待售
210,青西铭府,待售
211,棠颂大院,在售
212,大华峰汇华城,在售
213,如沐清晖城,在售
214,绿都中天云屿江月,在售
215,天瑄城,待售
216,招商博奥花宸里,待售
217,栖江揽月轩,待售
218,观翠揽月轩,待售
219,新鸿基平安江河汇,待售
220,地上衣锦上府,待售
221,严州云境府,待售
222,平高创业城,待售
223,华景川云萃天和城,待售
224,杭房启润学府,待售
225,杭房富春山居湖著观邸,待售
226,鲲鹏府,待售
227,绿城西溪深蓝,在售
228,河映云集,待售
229,建发缦云轩,在售
230,杭珹未来中心,待售
231,保利都和轩,待售
232,天溪半岛,在售
233,绿都中天云屿江月,在售
234,月映星语园,在售
235,绿城咏桂里,待售
236,名门旺府,在售
237,风荷叠翠府,待售
238,金隅会潮悦府,待售
239,德信·临望宸府,待售
240,华城茶语华邸,待售
241,中天宸锦学府,在售
242,裕隆大厦,在售
243,平高创业城,在售
244,之江明月府,待售
245,之江明月府,待售
246,杭腾未来社区,待售
247,枫翠岚湾,待售
248,听悦雅庭,待售
249,紫阅云宸里,待售
250,湖境天宸里,待售
251,湖悦岚湾,待售
252,锦上云澜,待售
253,祥生文海府,待售
254,滨萃悦府,待售
255,春樾星宸,待售
256,棠源美宸,待售
257,江宸商务中心,待售
258,天目山晓城,待售
259,东原东傲城,在售
260,东原东傲城,在售
261,浅山明月府,待售
262,月咏新辰轩,待售
263,地铁万科彩虹天空之城,在售
264,保亿丽云府,待售
265,江晖府,待售
266,翠揽云境,待售
267,佳源快乐,在售
268,天瑄城,在售
269,滨江春宸上府,待售
270,隐舟府,待售
271,运晓花望府,待售
272,粤港湾·心安江上,待售
273,宸鹭香舍,待售
274,海悦中心,在售
275,城北地铁宝龙城市广场,在售
276,绿城华润晓月映翠,待售
277,绿地商业中心,待售
278,隐舟府,待售
279,星瓒颂锦府,待售
280,中南未来里,在售
281,建发天悦云庐,在售
282,建发天悦云庐,待售
283,棠前嘉座,待售
284,城北地铁宝龙城市广场,在售
285,棠颂大院,在售
286,蓝城云和里,待售
287,绿城莲园,在售
288,悠隐南山,在售
289,盈都新天地,在售
290,中旅•锦绣东方,在售
291,江南御苑,在售
292,金昌白鹭凤林,在售
293,光明梦想城,在售
294,大地西城美院,在售
295,大地西城美院,在售
296,港中旅和乐小镇,在售
297,港中旅和乐小镇,在售
298,长和庄园,在售
299,云山境,在售
300,欣龙江南府,在售
301,阳光城碧桂园玺园,在售
302,镜湖之星,在售
303,中旅·海泉湾,在售
304,洛塘滨河郡,在售
305,驭远中南玖熙湾,在售
306,世外旭辉城,在售
307,玖境府,在售
308,宝龙旭辉城,在售
309,伟立活力,在售
310,学仕嘉园,在售
311,朗诗绿洲璟院,在售
312,和庄云顶,在售
313,宝能藏珑,在售
314,金樾玖著,在售
315,世茂美的云筑,在售
316,科大春风印月里,在售
317,海波名苑,在售
318,星河名府,在售
319,鑫康家园,在售
320,鑫康家园,在售
321,深石上东里,在售
322,绿城濮园杏林苑,在售
323,绿城濮园翔云苑,在售
324,江南一品,在售
325,三盛汝悦璟园,在售
326,金科时代天悦,在售
327,滨河商业中心,在售
328,湖墩茗苑,在售
329,新滨广场,在售
330,璞圆烟雨阁,在售
331,保亿湖风晓园,在售
332,鸿翔金桂里,在售
333,和庄沁园,在售
334,荣安观江园,在售
335,云锦东方,在售
336,会稽云庐,在售
337,星尚镜廷,在售
338,武地融创樾湖湾,在售
339,金科旭辉上河之城,在售
340,宝业云溪里,在售
341,星澜城,在售
342,和天地商业中心,在售
343,鸿悦府,在售
344,匠心好园,在售
345,华景川融信晴芳园,在售
346,枫尚学府,在售
347,锦博学府,在售
348,鹃南府,在售
349,春风棠颂府,在售
350,鸿翔云望,在售
351,华宸府,在售
352,卓越春熙里,在售
353,万城·杭悦府,在售
354,悦汇大厦,在售
355,华欣春晓园,在售
356,华欣春晓园,在售
357,和庄沁园,在售
358,融创江南桃源,在售
359,万城九悦府,在售
360,新邻里广场,在售
361,万城万杭府,在售
362,绿城春来云潮,在售
363,绍兴黄酒小镇,在售
364,江南明月府,在售
365,绿城濮园梅泾苑,在售
366,华景川溪上云筑,在售
367,中筑名孝府,在售
368,华景川溪上云筑,在售
369,悦景湾,在售
370,荣安▪御宾湾,在售
371,融创嘉潮府,在售
372,绿城明月春江,在售
373,绿城江南明月府（店口）,在售
374,金辉璟樾云著,在售
375,中南君启,在售
376,天阅美湖居,在售
377,新邻里广场,在售
378,正黄未来天辰苑,在售
379,万科•臻境,在售
380,鸿翔北辰金邸,在售
381,华润置地中心,在售
382,秀悦澜庭,在售
383,凤启天宸中心,在售
384,正黄和锦府,在售
385,龙湖景璘府,在售
386,金地·天元鸣望邸,在售
387,时代天境（海宁）,在售
388,朗诗绿洲璟院,在售
389,合境·星耀里,在售
390,万科-光年里,在售
391,龙湖景璘府,在售
392,悦湖里,在售
393,新希望锦麟天樾,在售
394,织里浙北城市广场,在售
395,秀宸华府,在售
396,大家锦玥府,在售
397,浙投滨海国际,在售
398,锦粼鸣庐,在售
399,锦粼鸣庐,在售
400,康宇·西林花园,在售
401,融创·嘉望府,在售
402,朗臻江南府,在售
403,书香里,在售
404,中南君启,在售
405,金辉象屿·观澜云庭,在售
406,绿城九龙仓柳岸晓风,售罄
407,金辉蓝光星奕云著,售罄
408,万科大溪谷,售罄
409,中城汇MIDTOWN,售罄
410,金科碧桂园博翠府,售罄
411,和家园雍园,售罄
412,钱江国际时代广场,售罄
413,融创东南海,售罄
414,融创东麟府,售罄
415,绿城九龙仓桂语江南,售罄
416,融信江南学府,售罄
417,云悦湾,售罄
418,融信沐澜,售罄
419,金隅中铁诺德都会森林,售罄
420,首开东城金茂府,售罄
421,金地宋都都会钱塘,售罄
422,云悦湾,售罄
423,碧桂园良樾,售罄
424,滨江碧桂园翡翠江南,售罄
425,滨江碧桂园卧城印象,售罄
426,中粮梦栖祥云,售罄
427,滨江碧桂园卧城印象,售罄
428,融创金成江南府,售罄
429,碧桂园越溪府,售罄
430,香港兴业耦园,售罄
431,东南钱江蓝湾,售罄
432,融创金成英特学府,售罄
433,合景天銮,售罄
434,融信萧山公馆,售罄
435,新城璟隽公馆,售罄
436,鸿盛家园,售罄
437,景瑞阳光城法兰公园,售罄
438,碧桂园金科尚合府,售罄
439,君望花苑,售罄
440,朗诗枫荟,售罄
441,秀隐翠园,售罄
442,远洋西溪公馆,售罄
443,海伦堡棠锦,售罄
444,华夏之心,售罄
445,北辰国颂府,售罄
446,融信杭州世纪,售罄
447,绿城西溪云庐,售罄
448,国开东方凤凰台,售罄
449,绿城和庐,售罄
450,龙湖江与城,售罄
451,西房拱宸外滩,售罄
452,滨江新希望新城未来海岸,售罄
453,万丽璞丽,售罄
454,越秀景瑞悦见山,售罄
455,碧桂园前宸府,售罄
456,德信碧桂园印江南,售罄
457,开元名城,售罄
458,金地滨江万科悦虹湾,售罄
459,绿地华家池印,售罄
460,西溪新城市,售罄
461,大家金鼎府,售罄
462,碧桂园东旭府,售罄
463,润东府,售罄
464,融信沐澜,售罄
465,三湘印象森林海尚,售罄
466,绿城九龙仓桂语朝阳,售罄
467,绿城九龙仓桂语朝阳,售罄
468,阳光郡,售罄
469,金地广场,售罄
470,嘉里云荷廷,售罄
471,阳光城普升,售罄
472,中国铁建国际花园,售罄
473,滨江东方海岸(萧山),售罄
474,郡原相江公寓,售罄
475,金都夏宫,售罄
476,保亿丽景山,售罄
477,茂宸金座,售罄
478,新城峯璟,售罄
479,金都夏宫,售罄
480,杭钢尚堂府,售罄
481,万科坤和玉泉,售罄
482,佳源名城,售罄
483,昆盛肖邦,售罄
484,中栋国际,售罄
485,阳光城翡丽湾,售罄
486,坤和和家园,售罄
487,协安蓝郡,售罄
488,保利梧桐语,售罄
489,新天地中心,售罄
490,首开武林8栋,售罄
491,恒基旭辉府,售罄
492,坤和和家园,售罄
493,恒大城市之光,售罄
494,银杏汇,售罄
495,融创瑷颐湾,售罄
496,赞成杭家,售罄
497,赞成首府,售罄
498,欧美金融城,售罄
499,阳光城上府,售罄
500,欧美金融城,售罄
501,武林壹号,售罄
502,中栋国际,售罄
503,阳光银泰城,售罄
504,恒大水晶国际广场,售罄
505,雅居乐国际花园,售罄
506,华瑞晴庐,售罄
507,卓越蔚蓝领秀一期,售罄
508,东方一号,售罄
509,天城府,售罄
510,中国铁建江南国际城,售罄
511,金隅观澜时代天筑,售罄
512,万科名城博园,售罄
513,中兴御田清庭,售罄
514,保利中心,售罄
515,东日晴好,售罄
516,黄金时代,售罄
517,蓝钻天成,售罄
518,众安白马山庄,售罄
519,绿城桃花源,售罄
520,城发云锦城,售罄
521,新城红郡,售罄
522,融创瑷骊山,售罄
523,万科大家世纪之光,售罄
524,北辰奥园,售罄
525,金地天逸,售罄
526,金地格林格林,售罄
527,赞成赞城,售罄
528,顺发吉祥半岛,售罄
529,贝利云栖中心,售罄
530,余之城,售罄
531,华元西溪欢乐城,售罄
532,众安学君里,售罄
533,新湖菲林山,售罄
534,得力名望府,售罄
535,众安理想湾,售罄
536,万通时尚公馆,售罄
537,东晖龙悦湾,售罄
538,嘉丰万悦城,售罄
539,富邦星座,售罄
540,淮矿东元府,售罄
541,东海水景城,售罄
542,星汇花园,售罄
543,新城香悦半岛,售罄
544,佳兆业西溪璞园,售罄
545,万科郡西澜山,售罄
546,九龙仓君廷,售罄
547,融信学院府,售罄
548,万科杭宸,售罄
549,富力十号院,售罄
550,九龙仓珑玺,售罄
551,东方君悦,售罄
552,新城香悦奥府,售罄
553,西溪风情花园,售罄
554,德信君宸,售罄
555,上实海上海,售罄
556,碧桂园西江月,售罄
557,雍荣华庭,售罄
558,中企艮山府,售罄
559,鑫运时代金座,售罄
560,融创金成西溪海,售罄
561,融创金成西溪海,售罄
562,龙湖武林九里,售罄
563,滨江华家池,售罄
564,天阳文晖,售罄
565,万科新都会1958,售罄
566,广宇万科公园里,售罄
567,雍和府,售罄
568,大家绿城金麟府,售罄
569,滨江德信东方星城,售罄
570,万科中央公园,售罄
571,滨江华成大江之星,售罄
572,富力新线公园,售罄
573,金地西溪风华,售罄
574,北大资源未名府,售罄
575,天润商业中心,售罄
576,华元花涧堂,售罄
577,天阳武林邸,售罄
578,东南钱江蓝湾,售罄
579,万科缦云坊,售罄
580,大运宸府,售罄
581,中国铁建西湖国际城,售罄
582,湖景居,售罄
583,万科北宸之光三期拱宸,售罄
584,滨江铂金海岸,售罄
585,首开望宸,售罄
586,艺尚里,售罄
587,万科海上明月,售罄
588,云溪新语,售罄
589,潮闻天下,售罄
590,信融御金台,售罄
591,绿城九龙仓柳岸晓风,售罄
592,荀庄,售罄
593,野风启城,售罄
594,溪悦宸府,售罄
595,科尔世纪外滩,售罄
596,科尔世纪外滩,售罄
597,光明尚海湾,售罄
598,赞成檀府,售罄
599,赞成檀府,售罄
600,中港罗兰小镇,售罄
601,新湖香格里拉,售罄
602,兴耀星悦湾,售罄
603,华元欢乐城,售罄
604,广厦天都城天熙公馆,售罄
605,泰地北上新城,售罄
606,杭州明石商业大厦,售罄
607,杭州港龙城,售罄
608,绿城桃源小镇,售罄
609,万科郡西,售罄
610,绿城运河郡,售罄
611,金铂湾,售罄
612,潮闻天下,售罄
613,江滨澜廷,售罄
614,之江九里,售罄
615,滨江东方海岸(萧山),售罄
616,朝阳银座,售罄
617,佳兆业西溪璞园,售罄
618,万科溪望,售罄
619,向江来时代中心,售罄
620,西溪君庐,售罄
621,旭辉时代城,售罄
622,杭钢紫元旭润和府,售罄
623,宋都时间国际,售罄
624,恒祺克拉天玺,售罄
625,奥克斯缔逸城,售罄
626,融信澜天,售罄
627,融信澜天,售罄
628,金地西溪风华,售罄
629,宋都东郡之星,售罄
630,中国铁建保利像素,售罄
631,万科溪望,售罄
632,新城红郡,售罄
633,华鼎君临天峯,售罄
634,创客空间大厦,售罄
635,梦溪东明山居,售罄
636,华瑞湘湖美地,售罄
637,杉杉恒和依山郡,售罄
638,杉杉恒和依山郡,售罄
639,恒厚阳光城,售罄
640,钱塘梧桐蓝山,售罄
641,明华名港城二期,售罄
642,明华名港城二期,售罄
643,大奇山郡,售罄
644,财和湘域湾,售罄
645,湖山帝景湾,售罄
646,CBC时代大观,售罄
647,绿都南江壹号,售罄
648,天鸿香榭里,售罄
649,广宇鼎悦府,售罄
650,开元广场,售罄
651,顺发堤香,售罄
652,世茂中心,售罄
653,杭州大悦城,售罄
654,富亿NEO中心,售罄
655,远洋杭州大运河商务区,售罄
656,梦溪东明山居,售罄
657,富春玫瑰园,售罄
658,理想银泰城,售罄
659,宝龙城市广场,售罄
660,西溪蓝海,售罄
661,宋都时间国际,售罄
662,富力西溪悦墅,售罄
663,合景映月台,售罄
664,绿地旭辉城,售罄
665,龙湖水晶郦城,售罄
666,绿野御墅,售罄
667,西溪智慧健康谷,售罄
668,世茂之西湖,售罄
669,港汇中心,售罄
670,绿城运河郡,售罄
671,春江香樟苑,售罄
672,融创玖樟台,售罄
673,佳源未来府,售罄
674,中骏钱塘御景,售罄
675,万宝城,售罄
676,浙港国际,售罄
677,华夏四季,售罄
678,滨江旭辉万家之星,售罄
679,尚城墅,售罄
680,万科未来城三期梦溪里,售罄
681,富力天贸广场,售罄
682,通和十二橡树,售罄
683,青山湖玫瑰园,售罄
684,滨江江南之星,售罄
685,南洋名都,售罄
686,郡乐苑,售罄
687,东厦东港花苑,售罄
688,万通中心,售罄
689,翡翠城三期,售罄
690,星运丽园兰逸,售罄
691,湘湖壹号,售罄
692,万科君望,售罄
693,万科良渚文化村堂前,售罄
694,大千古街,售罄
695,中天珺府,售罄
696,宋都东郡国际,售罄
697,观澜时代云邸苑,售罄
698,绿城曼陀花园,售罄
699,澳海澜庭,售罄
700,龙湖春江天玺,售罄
701,新城香悦半岛,售罄
702,竹径云山,售罄
703,梅和名府,售罄
704,杭州港龙城,售罄
705,玲珑府,售罄
706,万都晶座,售罄
707,北湖绿洲花园,售罄
708,领航城,售罄
709,卓越蔚蓝领秀二期,售罄
710,金世纪运河丽园,售罄
711,通和十二橡树,售罄
712,新城香悦公馆,售罄
713,融创河滨之城雨澜轩,售罄
714,瑞金华丽嘉苑,售罄
715,海德公园,售罄
716,和昌府,售罄
717,香港兴业耦园,售罄
718,祥生群贤府,售罄
719,祥生群贤府,售罄
720,融创时代奥城,售罄
721,绿城运河宸园,售罄
722,金色和庄,售罄
723,雷威沁园,售罄
724,朗诗熙华府,售罄
725,阳光城西郊半岛,售罄
726,融创涌清府,售罄
727,祥生钱塘新语,售罄
728,滨江金茂府,售罄
729,复泰雅宸华庭,售罄
730,复泰雅宸华庭,售罄
731,望湖山庄,售罄
732,玉兰花园,售罄
733,天阳文晖,售罄
734,浙商国际中心,售罄
735,阳光银泰城,售罄
736,九龙湾,售罄
737,宋都晨光国际,售罄
738,太平洋银座,售罄
739,义桥星天地,售罄
740,金沙世纪大厦,售罄
741,崇贤上亿广场,售罄
742,山水国际,售罄
743,华润万象汇,售罄
744,银泰海威国际,售罄
745,赞成中心,售罄
746,元成时代中心,售罄
747,浙港国际,售罄
748,原禾大厦,售罄
749,中旅城仕公馆,售罄
750,杭州万达广场,售罄
751,宋都丽郡国际,售罄
752,绿地中央广场,售罄
753,铁建万科江湾城,售罄
754,新天地G193广场,售罄
755,中节能西溪首座,售罄
756,金街美地,售罄
757,东海闲湖城,售罄
758,沈半路灯具市场,售罄
759,保利中心,售罄
760,天鸿美和院,售罄
761,武林外滩,售罄
762,越秀星汇尚城,售罄
763,金地艺境,售罄
764,英冠乐创城,售罄
765,中豪国际,售罄
766,梧桐燕庐,售罄
767,玖玖国际财富中心,售罄
768,蓝钻天成,售罄
769,万科未来城二期,售罄
770,江南国际丝绸城,售罄
771,江南国际丝绸城,售罄
772,中铁九逸,售罄
773,旭辉滨江东方悦府,售罄
774,越秀维多利中心,售罄
775,东晖龙悦湾,售罄
776,星运丽园兰逸,售罄
777,碧桂园深蓝国际,售罄
778,新城龙湖湾上风华,售罄
779,合景映月台,售罄
780,旺君国际,售罄
781,融信学院府,售罄
782,金色黎明三期,售罄
783,融信永兴首府,售罄
784,中豪七格,售罄
785,融信永兴首府,售罄
786,东方铭楼,售罄
787,华元欢乐城,售罄
788,佳源优优锦城,售罄
789,北大资源未名府,售罄
790,华元天鹅堡,售罄
791,景瑞天赋,售罄
792,滨江新城东方名府,售罄
793,新天地金色时光,售罄
794,中赢金城里,售罄
795,昆仑天籁,售罄
796,中赢金城里,售罄
797,雅居乐国际花园,售罄
798,金隅空港公馆,售罄
799,融创金成未来海,售罄
800,钱江之江新天地,售罄
801,金岸提香,售罄
802,复泰雅宸华庭,售罄
803,四维金座,售罄
804,富春硅谷,售罄
805,南钻广场,售罄
806,天达广场,售罄
807,三花国际,售罄
808,合诚之江商务中心,售罄
809,绿城西溪世纪广场,售罄
810,临平西子国际,售罄
811,佳源银座,售罄
812,绿谷杭州东部创新中心,售罄
813,状元府,售罄
814,融信萧山公馆,售罄
815,交投绿城明珠国际,售罄
816,千岛湖嘉苑,售罄
817,德信东望,售罄
818,赞成首府,售罄
819,钱江西溪和景,售罄
820,融信蓝孔雀,售罄
821,富阳财富中心,售罄
822,昆盛肖邦,售罄
823,英冠乐创城,售罄
824,融信江南学府,售罄
825,保利融信大国璟,售罄
826,万科未来城三期梦溪里,售罄
827,碧桂园天麓府,售罄
828,富春新天地,售罄
829,广厦天都城滨沁&沁源公寓,售罄
830,雍和府,售罄
831,新城香悦公馆,售罄
832,东新府,售罄
833,祥生云浦新语,售罄
834,向江来时代中心,售罄
835,西溪曼哈顿,售罄
836,华策中心,售罄
837,龙湖天钜,售罄
838,万科劝学里,售罄
839,万佳居,售罄
840,赞成杭家,售罄
841,西溪十九府,售罄
842,首开武林8栋,售罄
843,宝嘉誉府,售罄
844,天阳武林邸,售罄
845,远洋招商上塘宸章,售罄
846,禹洲滨澜铭座,售罄
847,旭辉珺悦府,售罄
848,华瑞晴庐,售罄
849,钱塘航空大厦,售罄
850,采荷嘉业大厦,售罄
851,景瑞阳光城法兰公园,售罄
852,首开杭州金茂府,售罄
853,钱江御府,售罄
854,中欧城,售罄
855,碧桂园越溪府,售罄
856,万科劝学里,售罄
857,西溪智慧健康谷,售罄
