,楼盘名称,楼盘状态
858,越秀亲爱里,售罄
859,易辰江南大院,售罄
860,世茂钱塘天誉,售罄
861,云山九里,售罄
862,中南樾府,售罄
863,绿城桃李春风,售罄
864,融信公馆arc,售罄
865,中欧城,售罄
866,绿地G合里金宸,售罄
867,璞玉公馆,售罄
868,蓝色春江,售罄
869,中交财富中心,售罄
870,华瑞中心,售罄
871,合景天銮,售罄
872,西溪新城市,售罄
873,江南时代购物中心,售罄
874,O纪元,售罄
875,阳光银泰城,售罄
876,东方铭楼,售罄
877,临平芳满庭,售罄
878,融创玖樟台,售罄
879,德信杭州之翼,售罄
880,西房拱宸外滩,售罄
881,复地壹中心,售罄
882,京港国际,售罄
883,力雅广场,售罄
884,柏悦公馆,售罄
885,朗诗乐府,售罄
886,恒祺克拉天玺,售罄
887,北辰国颂府,售罄
888,万科融信西雅图,售罄
889,旭辉和昌都会山,售罄
890,远洋雁归里,售罄
891,万科智谷,售罄
892,璞丽东方,售罄
893,绿都汀蘭府,售罄
894,融信保利创世纪,售罄
895,星耀星澜之城,售罄
896,西房余杭公馆,售罄
897,富春硅谷,售罄
898,欧美金融城,售罄
899,融创富春壹号院,售罄
900,融创东麟府,售罄
901,融创金成江南府,售罄
902,融创望海潮,售罄
903,金沙世纪大厦,售罄
904,中巢起梦公园,售罄
905,阳光城翡丽公园,售罄
906,大都尚澜,售罄
907,云溪新语,售罄
908,融创宜和园,售罄
909,信达滨江壹品,售罄
910,龙湖郦城公馆,售罄
911,荣安翡翠半岛,售罄
912,凤起潮鸣,售罄
913,海上明月澜庭,售罄
914,招商武林郡,售罄
915,滨江保利翡翠海岸,售罄
916,绿城建发沁园,售罄
917,滨江春盛大江名筑,售罄
918,绿都云和湖,售罄
919,雨润星雨华府,售罄
920,中粮梦栖祥云,售罄
921,招商越秀公园1872,售罄
922,中海钱江湾,售罄
923,阳光城未来悦MAX,售罄
924,和家园雍园,售罄
925,龙湖天璞,售罄
926,钱江彩虹府,售罄
927,佳源湘湖印象,售罄
928,汇高栢悦中心,售罄
929,旭辉宝龙东湖城,售罄
930,旭辉宝龙东湖城,售罄
931,都会艺境,售罄
932,绿城九龙仓桂语江南,售罄
933,海威新界,售罄
934,保亿绿城奥邸国际,售罄
935,中旅名门府,售罄
936,阳光城檀悦,售罄
937,金辉贤林信步,售罄
938,旭辉和昌都会山,售罄
939,中赢云际,售罄
940,迪凯城星国际,售罄
941,中旅紫金名门,售罄
942,都会艺境,售罄
943,都会艺境,售罄
944,远洋雁归里,售罄
945,杭州大悦城,售罄
946,保亿中心,售罄
947,中天珺府,售罄
948,通策状元府,售罄
949,德信大江源著,售罄
950,杭州壹号院,售罄
951,佳源湘湖印象,售罄
952,融创微风之城,售罄
953,融创金成十锦台,售罄
954,东原印未来,售罄
955,英冠乐创城,售罄
956,杭州中央车站广场,售罄
957,保利融信大国璟,售罄
958,宋都新宸悦府,售罄
959,苕溪壹号,售罄
960,宋都江宸府,售罄
961,富力西溪悦居,售罄
962,保利中心,售罄
963,南北盛德国际,售罄
964,众安学君里,售罄
965,旭辉东原吴越府,售罄
966,万固观澜府,售罄
967,临平芳满庭,售罄
968,星南站,售罄
969,居艺空间,售罄
970,南润名座,售罄
971,大江东宝龙广场,售罄
972,和家园臻园,售罄
973,西溪永乐城,售罄
974,海威新界,售罄
975,运河公馆,售罄
976,运河公馆,售罄
977,绿城桃源小镇,售罄
978,绿城雄凯国际,售罄
979,龙湖西溪天街,售罄
980,理想世纪金座,售罄
981,新城璟隽公馆,售罄
982,联发藏珑玉墅,售罄
983,联发藏珑玉墅,售罄
984,北大资源颐和江南,售罄
985,滨江江南名府,售罄
986,保亿绿城奥邸国际,售罄
987,蒲公英天地,售罄
988,青枫墅园,售罄
989,和昌云栖玖著,售罄
990,新西湖小镇,售罄
991,南岸晶都花园,售罄
992,旭辉珺悦府,售罄
993,中南白马湖壹号,售罄
994,朝阳银座,售罄
995,保利融信大国璟,售罄
996,融创微风之城,售罄
997,茂宸金座,售罄
998,奥克斯缔逸城,售罄
999,翡翠城三期,售罄
1000,绿城杨柳郡,售罄
1001,绿城桃李春风,售罄
1002,绿城之江1号,售罄
1003,绿城九龙仓钱塘明月,售罄
1004,杭州新世纪广场,售罄
1005,中栋国际,售罄
1006,上坤山语四季,售罄
1007,宋都麓宸府,售罄
1008,阳光城丽景湾,售罄
1009,糖朝,售罄
1010,碧桂园玖晟府,售罄
1011,东方文化园步行街,售罄
1012,成龙官山邸,售罄
1013,杭钢尚堂府,售罄
1014,富力十号一期,售罄
1015,万科智谷,售罄
1016,世茂东壹号,售罄
1017,滨江新城东方名府,售罄
1018,杭州嘉里中心,售罄
1019,中骏柏景湾,售罄
1020,振泽左右办公世界,售罄
1021,德信浙旅天空之翼,售罄
1022,旭辉东原吴越府,售罄
1023,大家金钰府,售罄
1024,临安宝龙广场,售罄
1025,城中府,售罄
1026,天阳蓝光蔚蓝,售罄
1027,国能悦玺台,售罄
1028,绿城国际社区,售罄
1029,中天富春诚品二期,售罄
1030,群升星河印象中心,售罄
1031,千岛湖雨润星雨华府,售罄
1032,宋都相贤府,售罄
1033,万锦花苑,售罄
1034,万科潮起东方,售罄
1035,金地玖峯汇,售罄
1036,万科潮起东方,售罄
1037,运河万科中心,售罄
1038,金地玖峯汇,售罄
1039,保利融信和光尘樾,售罄
1040,越秀湖山悦,售罄
1041,合景天誉,售罄
1042,星耀中心,售罄
1043,阳光城拱宸府,售罄
1044,和昌云栖玖著,售罄
1045,金地滨江万科悦虹湾,售罄
1046,金科博翠碧蓝湾,售罄
1047,资辉壹方汇,售罄
1048,金辉久尚云筑,售罄
1049,中梁申花百悦公馆,售罄
1050,前湾江上湾,售罄
1051,璞玉公馆,售罄
1052,融创江南壹号院,售罄
1053,龙湖璟宸府,售罄
1054,恒伟科技园,售罄
1055,龙湖璟宸府,售罄
1056,时代滨江翡翠之星,售罄
1057,汇铂金座,售罄
1058,宝龙旭辉城,售罄
1059,首开杭州金茂府,售罄
1060,龙湖江与城,售罄
1061,融信远洋厘望,售罄
1062,天城府天著,售罄
1063,宋都如意春江,售罄
1064,碧桂园中梁凤鸣公馆,售罄
1065,春天学府,售罄
1066,融创金成臻蓝府,售罄
1067,银城云谷天境,售罄
1068,湖滨外滩,售罄
1069,锦上桃源,售罄
1070,杭佑名座,售罄
1071,武林之光,售罄
1072,杭州大家,售罄
1073,德信九溪云庄,售罄
1074,德信金茂佳源府,售罄
1075,御东方,售罄
1076,东原旭辉璞阅,售罄
1077,东原旭辉璞阅,售罄
1078,金地广场,售罄
1079,滨江东方海岸(萧山),售罄
1080,中海云宸,售罄
1081,德信九溪云庄,售罄
1082,保利滨江上品,售罄
1083,都会风华,售罄
1084,绿地艺尚府,售罄
1085,融信旭辉湘湖悦章,售罄
1086,融创金成璞樾大观,售罄
1087,大家栖溪,售罄
1088,旭辉中粮朗香郡,售罄
1089,荣安柳岸闻莺,售罄
1090,新湖菲林山,售罄
1091,新希望滨江锦粼府,售罄
1092,融信旭辉湘湖悦章,售罄
1093,保亿湘湖和院,售罄
1094,瑞城熙园,售罄
1095,九龙仓雍景山,售罄
1096,融创江南壹号院,售罄
1097,杭州江山风华,售罄
1098,融创金成十锦台,售罄
1099,荣安柳岸闻莺,售罄
1100,宋都相贤府,售罄
1101,阳光城上林湖,售罄
1102,嘻游城,售罄
1103,保亿湘湖和院,售罄
1104,杭房揽翠,售罄
1105,金茂首开国樾,售罄
1106,越秀景瑞悦见山,售罄
1107,龙湖春江天越,售罄
1108,风荷锦庭,售罄
1109,众安学君里,售罄
1110,绿城云栖桃花源,售罄
1111,富力新线公园,售罄
1112,万科大溪谷,售罄
1113,祥生绿都京杭府,售罄
1114,祥生绿都京杭府,售罄
1115,领航城,售罄
1116,浙大网新银湖科技园,售罄
1117,恒伟科技园,售罄
1118,风荷锦庭,售罄
1119,中天万科启宸,售罄
1120,路劲远洋江南院子,售罄
1121,路劲远洋江南院子,售罄
1122,绿城和庐,售罄
1123,浙大网新银湖科技园,售罄
1124,绿地华家池印,售罄
1125,旭辉东原国滨府,售罄
1126,恒大林溪郡,售罄
1127,恒大林溪郡,售罄
1128,海伦堡棠锦,售罄
1129,印象新城,售罄
1130,和谐江和城,售罄
1131,万科海上明月,售罄
1132,万科君望,售罄
1133,雅棠轩,售罄
1134,德信市心府,售罄
1135,德信市心府,售罄
1136,东哲云邸,售罄
1137,蓝城春风燕语,售罄
1138,万科西望,售罄
1139,奥克斯时代未来之城,售罄
1140,佳源西溪印象,售罄
1141,融创宜和园,售罄
1142,国开东方凤凰台,售罄
1143,北大资源颐和江南,售罄
1144,碧桂园望江台,售罄
1145,金茂首开国樾,售罄
1146,融创金成未来海,售罄
1147,中锐招商星未来,售罄
1148,中豪湘和国际,售罄
1149,西溪曼哈顿,售罄
1150,金地风华东方,售罄
1151,银城云谷天境,售罄
1152,万科西望,售罄
1153,绿都鉴未来,售罄
1154,绿都鉴未来,售罄
1155,湖滨外滩,售罄
1156,富景都会公寓,售罄
1157,北城芳满庭,售罄
1158,星光荟,售罄
1159,北城芳满庭,售罄
1160,随塘,售罄
1161,易辰江南大院,售罄
1162,富力御江山小区,售罄
1163,杭州江山风华,售罄
1164,随塘,售罄
1165,旭辉东原国滨府,售罄
1166,滨江新希望拥潮府,售罄
1167,兴耀锦里,售罄
1168,合景天誉,售罄
1169,武林之光,售罄
1170,祥生云境,售罄
1171,祥生云境,售罄
1172,金成英特尔湾,售罄
1173,城镇依山郡,售罄
1174,广宇东港空间,售罄
1175,万锦花苑,售罄
1176,雍澜府,售罄
1177,保利澄品,售罄
1178,景瑞镜溪绿汀,售罄
1179,金都夏宫,售罄
1180,滨江金地御品,售罄
1181,中梁云玺,售罄
1182,新希望滨江锦宸,售罄
1183,中交理想时代芳华,售罄
1184,中交理想时代芳华,售罄
1185,滨江春盛大江名筑,售罄
1186,联发藏珑大境,售罄
1187,联发藏珑大境,售罄
1188,云悦湾,售罄
1189,天阳云栖梅林,售罄
1190,天阳云栖梅林,售罄
1191,华联钱塘公馆,售罄
1192,宋都如意溪湖,售罄
1193,越秀星悦城,售罄
1194,美晟府,售罄
1195,融创金成璞樾大观,售罄
1196,融信远洋厘望,售罄
1197,中庆润泽院,售罄
1198,奥克斯金宸玖和府,售罄
1199,万象上东,售罄
1200,绿都金科和宁文华府,售罄
1201,奥克斯时代未来之城,售罄
1202,中旅名门府新境,售罄
1203,世茂璀璨澜宸,售罄
1204,中国中铁溪畔云璟府,售罄
1205,融创东麟府,售罄
1206,云潮府,售罄
1207,汉港武林汇,售罄
1208,阳光城山水悦江府,售罄
1209,保亿麓语湖苑,售罄
1210,龙湖武林上城,售罄
1211,凤起钱潮,售罄
1212,绿地亚洲公园,售罄
1213,德信时代公馆,售罄
1214,贤辰府,售罄
1215,新视界公寓,售罄
1216,雅颂市心府,售罄
1217,奥克斯金宸玖和府,售罄
1218,世宸名府,售罄
1219,世宸名府,售罄
1220,世宸名府,售罄
1221,德信时代公馆,售罄
1222,龙湖葛洲坝景粼天著,售罄
1223,四季都会,售罄
1224,秋实宸悦,售罄
1225,融信空港澜天,售罄
1226,时代滨江悦,售罄
1227,华侨城芳菲与城,售罄
1228,远洋路劲上河宸章,售罄
1229,远洋路劲上河宸章,售罄
1230,杭房悦东方,售罄
1231,杭房悦东方,售罄
1232,湖境云庐,售罄
1233,华侨城芳菲与城,售罄
1234,御清城,售罄
1235,御清城,售罄
1236,赞成旭辉时代悦章,售罄
1237,赞成旭辉时代悦章,售罄
1238,众安绿城南湖明月,售罄
1239,众安绿城南湖明月,售罄
1240,仁恒滨江园,售罄
1241,仁恒祥生珊瑚世纪雅园,售罄
1242,仁恒祥生珊瑚世纪雅园,售罄
1243,运河ONE,售罄
1244,天阅运河源,售罄
1245,融创金成杭源里,售罄
1246,融创港印中心,售罄
1247,龙湖紫金上城,售罄
1248,电建泷悦华府,售罄
1249,天阳融信东寰名邸,售罄
1250,德信钱塘云庄,售罄
1251,杭州富力中心,售罄
1252,杭州富力中心,售罄
1253,德信大江壹号,售罄
1254,绿城晓风印月,售罄
1255,翡翠城梧桐郡,售罄
1256,上塘九里,售罄
1257,地铁万科天空之城,售罄
1258,恒大御泉四季,售罄
1259,国宸府,售罄
1260,国宸府,售罄
1261,龙湖葛洲坝景粼天著,售罄
1262,中铁诺德雅逸府,售罄
1263,兴耀锦里,售罄
1264,华鸿中南壹号院,售罄
1265,中建锦绣越府,售罄
1266,中建锦绣越府,售罄
1267,碧桂园十里春风,售罄
1268,碧桂园十里春风,售罄
1269,高科商业中心,售罄
1270,融创望潮印一期（云潮府）,售罄
1271,星光国际公馆,售罄
1272,葛洲坝龙湖中杭府,售罄
1273,苕溪学府,售罄
1274,首创禧瑞江南,售罄
1275,首创禧瑞江南,售罄
1276,九龙仓天玺,售罄
1277,中冶锦绣华府,售罄
1278,招商闻博花城,售罄
1279,招商闻博花城,售罄
1280,山水如画,售罄
1281,富春一品,售罄
1282,坤生栖悦,售罄
1283,信达东莱府,售罄
1284,九龙仓华发天荟,售罄
1285,城北万象城幸福里,售罄
1286,东原德信九章赋,售罄
1287,环翼城,售罄
1288,绿都东澜府,售罄
1289,众安西溪未来里,售罄
1290,承安HYGGE源翠府,售罄
1291,状元府,售罄
1292,西房杭语宸鹭院,售罄
1293,西房杭语宸鹭院,售罄
1294,德信大江壹号,售罄
1295,星创新里程中心,售罄
1296,中海黄龙云起,售罄
1297,绿城天语山居,售罄
1298,中梁御府,售罄
1299,中梁御府,售罄
1300,德信钱塘云庄,售罄
1301,奥园华景川上锦宸府,售罄
1302,星央悦府,售罄
1303,融信大发弘阳沁澜,售罄
1304,德信大家运河云庄,售罄
1305,德信大家运河云庄,售罄
1306,城南银泰城,售罄
1307,佳兆业云峰,售罄
1308,碧桂园泷悦,售罄
1309,碧桂园泷悦,售罄
1310,印象苕溪城,售罄
1311,杭州融创城,售罄
1312,恒大国玺悦龙府,售罄
1313,观棠明月,售罄
1314,观棠明月,售罄
1315,中南棠玥湾,售罄
1316,江畔铭座,售罄
1317,首开天青里,售罄
1318,首开天青里,售罄
1319,金隅观澜商业中心,售罄
1320,融创臻源锦宁里,售罄
1321,中交悦美庐,售罄
1322,中交悦美庐,售罄
1323,中量畅享幸福里,售罄
1324,奥园华景川上锦宸府,售罄
1325,奥体朝龙汇,售罄
1326,山水如画,售罄
1327,融创臻源锦宁里,售罄
1328,华夏之心,售罄
1329,绿城春来晓园,售罄
1330,杭语蓝庭,售罄
1331,阳光城西郊半岛,售罄
1332,德信时光之宸,售罄
1333,未来之芯,售罄
1334,银城青山湖畔,售罄
1335,宝龙旭辉城,售罄
1336,蓝城芷园,售罄
1337,滨江东原拥翠府,售罄
1338,天润西麓府,售罄
1339,天润西麓府,售罄
1340,滨江御虹府,售罄
1341,中骏临栖云府,售罄
1342,地铁万科天空之城,售罄
1343,越秀天萃名邸,售罄
1344,时代滨江丹枫四季,售罄
1345,缦云府,售罄
1346,越秀前滩名邸,售罄
1347,花语天境府,售罄
1348,花语天境府,售罄
1349,富阳悦享同心湾,售罄
1350,滨江龙湖东潮府,售罄
1351,世茂璀璨澜庭,售罄
1352,越秀悦映城,售罄
1353,滨江龙湖东潮府,售罄
1354,越秀悦映城,售罄
1355,融望之城,售罄
1356,桂语听澜轩,售罄
1357,东原德信九章赋,售罄
1358,远洋西溪公馆,售罄
1359,中天雅境,售罄
1360,古翠蓝庭,售罄
1361,世茂钱塘天誉,售罄
1362,荣盛檀越府,售罄
1363,融望之城,售罄
1364,悦融湾,售罄
1365,绿城天语山居,售罄
1366,拥涛府,售罄
1367,万固珺府,售罄
1368,荣安招商祥宸府,售罄
1369,荣安招商祥宸府,售罄
1370,绿城春风金沙,售罄
1371,中旅归锦府,售罄
1372,滨江新希望悦潮府,售罄
1373,滨江御滨府,售罄
1374,阳光城保亿翡丽云邸,售罄
1375,阳光城保亿翡丽云邸,售罄
1376,金辉紫雅云邸,售罄
1377,新希望华发锦粼云荟,售罄
1378,华景川云流名邸,售罄
1379,新希望美的长粼府,售罄
1380,世茂国风大境,售罄
1381,宝龙融信新世邸,售罄
1382,春月锦庐,售罄
1383,德信阅杭,售罄
1384,东原德信印奥湾,售罄
1385,滨江君品名邸,售罄
1386,建发金辉紫璋台,售罄
1387,宋都济宸府,售罄
1388,良语久园,售罄
1389,良语久园,售罄
1390,中天云望,售罄
1391,中天云望,售罄
1392,凤玺云著府,售罄
1393,滨耀城,售罄
1394,融创城,售罄
1395,悦风华,售罄
1396,金地大运桥西府,售罄
1397,联发溪语宸庐,售罄
1398,中南春溪集,售罄
1399,禹洲宋都望林府,售罄
1400,融创滨江御潮府,售罄
1401,香栖天第,售罄
1402,中海望庐,售罄
1403,阳光城檀映里,售罄
1404,径山园,售罄
1405,光合映,售罄
1406,北樾府,售罄
1407,杭辰星万里,售罄
1408,龙湖融信天琅府,售罄
1409,阳光城兴耀花漾里,售罄
1410,保亿阳光城丽光城,售罄
1411,理想臻品,售罄
1412,中天溪风雅韵,售罄
1413,中天溪风雅韵,售罄
1414,北上星云府,售罄
1415,普大福地,售罄
1416,时代天境,售罄
1417,湖光山社,售罄
1418,融信展望,售罄
1419,未来七彩小镇,售罄
1420,融创滨江御潮府,售罄
1421,保利潮起云上府,售罄
1422,中天汀洲印月,售罄
1423,佳兆业德信云望璞园,售罄
1424,中景华庭,售罄
1425,融信荣望,售罄
1426,龙湖湘湖原著,售罄
1427,九城渔人码头,售罄
1428,伟业熙境府,售罄
1429,恒大观澜府,售罄
1430,春和云境,售罄
1431,岸上蓝山公寓,售罄
1432,卓越明熙府,售罄
1433,广宇锦上文澜,售罄
1434,坤和融创开元望金沙,售罄
1435,万科前宸,售罄
1436,上塘源著,售罄
1437,滨江嘉品,售罄
1438,联发北秀观云,售罄
1439,香港置地上河公元,售罄
1440,未来旭辉城,售罄
1441,聆潮府,售罄
1442,聆潮府,售罄
1443,滨江春语蓝庭,售罄
1444,合景泰富揽月臻翠府,售罄
1445,众安顺源府,售罄
1446,群升万国天地,售罄
1447,曲江新鸥鹏杭州第三城（久境府）,售罄
1448,长麓府,售罄
1449,兴耀星漫里,售罄
1450,路劲银城澜仕里,售罄
1451,新希望锦畔云汀,售罄
1452,竹韵小筑,售罄
1453,森临澜府,售罄
1454,花样年对越天,售罄
1455,融信远洋厘望轩,售罄
1456,融创望潮印二期（湖悦江南院）,售罄
1457,星合映,售罄
1458,景瑞路劲海逸翠廷,售罄
1459,绿城桂语映月,售罄
1460,春来枫华,售罄
1461,荷源府,售罄
1462,中梁沐宸院,售罄
1463,三迪枫丹雅居,售罄
1464,大华潮悦前城,售罄
1465,蜀惠朝闻花城,售罄
1466,金科博翠碧蓝湾,售罄
1467,绿地香港宸瀚里,售罄
1468,杭语清澄,售罄
1469,合景泰富寰汇,售罄
1470,东湖尚府,售罄
1471,南樾府,售罄
1472,滨江翠语华庭,售罄
1473,德信中心,售罄
1474,观湖之宸公寓,售罄
1475,滨江绿城江河鸣翠,售罄
1476,金地滨与城,售罄
1477,荣安春月杭宁府,售罄
1478,滨江沁语晓庭,售罄
1479,大家湛景天承美筑,售罄
1480,大家坤和·美筑,售罄
1481,绿城茗春苑,售罄
1482,百郦玲珑府,售罄
1483,新湖香格里拉,售罄
1484,三盛大家汝悦美境府,售罄
1485,荣安春熙上和湾,售罄
1486,香悦和鸣府,售罄
1487,顺发·美颂城,售罄
1488,融信天阳云澜天第府,售罄
1489,远洋建华宸章新邸,售罄
1490,融创望潮印一期（云潮府）,售罄
1491,大华春山明月,售罄
1492,七彩星商业中心,售罄
1493,中旅时光里,售罄
1494,源著天樾府,售罄
1495,桃李湖滨,售罄
1496,桃李湖滨,售罄
1497,滨江博语华庭,售罄
1498,滨江星翠澜庭,售罄
1499,招商融信天澜,售罄
1500,建发书香印翠,售罄
1501,星创晶悦府,售罄
1502,绿城交投晓月澄庐,售罄
1503,合景泰富寰汇（石门街6号）,售罄
1504,滨融府,售罄
1505,德信中南江上云起,售罄
1506,德信中南江上云起,售罄
1507,招商博奥花宸里,售罄
1508,景瑞晴海,售罄
1509,华景川樾滨府,售罄
1510,佳源驭远玖墅,售罄
1511,溪上俪庭,售罄
1512,龙湖湘湖原著,售罄
1513,滨江观品,售罄
1514,严州誉境府,售罄
1515,华润置地亚奥城,售罄
1516,新安郡,售罄
1517,万科日耀之城,售罄
1518,青漫里,售罄
1519,宋都如意云庐,售罄
1520,合能杭玥府,售罄
1521,滨江兴耀滨耀学府,售罄
1522,融信美好宝龙锦云澜天里,售罄
1523,保利和者时光印象府,售罄
1524,华鸿东潮云庭,售罄
1525,环翼城,售罄
1526,星创晶晖里,售罄
1527,中海望庐|云起武林,售罄
1528,赞成漫悦,售罄
1529,云起中心,售罄
1530,金成潮塘轩,售罄
1531,绿城桂冠东方,售罄
1532,锦尚和品府,售罄
1533,建发银泰天悦,售罄
1534,高运尚悦府,售罄
1535,滨汇之都,售罄
1536,金成汀云上府,售罄
1537,西湖公馆,售罄
1538,花曜里,售罄
1539,滨江滨涛映月,售罄
1540,龙湖坤和·滨康天曜城,售罄
1541,德信滨望之宸,售罄
1542,中海黄龙云起|三里庐,售罄
1543,雨茗云舍,售罄
1544,众安蒲荷芸邸,售罄
1545,德信银城阅湖之宸,售罄
1546,春来雅庭,售罄
1547,滨江望涛月明,售罄
1548,东原东傲城,售罄
1549,招商蛇口花屿观澜里,售罄
1550,绿城云栖燕庐,售罄
1551,绿城云栖燕庐,售罄
1552,电建悦安府,售罄
1553,电建悦安府,售罄
1554,绿城沐春明月,售罄
1555,百富联合国际奥体之星,售罄
1556,宋都如意云境,售罄
1557,河语光年府,售罄
1558,中铁诺德雅逸府,售罄
1559,绿城湖上春风里,售罄
1560,天珏华庭,售罄
1561,天珏华庭,售罄
1562,复地绿城月映咏荷园,售罄
1563,绿城潮听明月,售罄
1564,前湾畅想江澜湾,售罄
1565,世茂风颂府,售罄
1566,潮和阅江台轩,售罄
1567,萧元江南沥城,售罄
1568,枫漫小筑,售罄
1569,曲江新鸥鹏杭州第三城（久雍府）,售罄
1570,葛洲坝龙湖中杭府,售罄
1571,新希望华发锦粼云荟,售罄
1572,华家印月,售罄
1573,湖印光年府,售罄
1574,臻奥院,售罄
1575,滨江望品,售罄
1576,溪悦云和园,售罄
1577,春题杭玥府,售罄
1578,君铂府,售罄
1579,前湾畅想江澜湾,售罄
1580,星潮映象府,售罄
1581,滨江潮听映月,售罄
1582,蓝城陶然里,售罄
1583,海潮望月城,售罄
1584,绿城沁桂轩,售罄
1585,德信碧桂园印江南,售罄
1586,太合商业中心,售罄
1587,柳浪东苑,售罄
1588,憬天国际名座,售罄
1589,萧然之芯,售罄
1590,阳光城檀悦,售罄
1591,九龙仓君廷,售罄
1592,柏润国际花园,售罄
1593,东方御府,售罄
1594,宝嘉誉峰,售罄
1595,绿都御景蓝湾,售罄
1596,锦润公寓,售罄
1597,滨江西溪之星,售罄
1598,中南白马湖壹号,售罄
1599,九龙仓君玺,售罄
1600,复地黄龙和山,售罄
1601,钱江御府,售罄
1602,景瑞申花郡,售罄
1603,新湖武林国际公寓,售罄
1604,融创大家侯潮府,售罄
1605,融创河滨之城雨澜轩,售罄
1606,富力西溪悦居,售罄
1607,金地艺境,售罄
1608,合景天峻,售罄
1609,三盛颐景御园,售罄
1610,协安紫郡,售罄
1611,融信杭州公馆,售罄
1612,万科未来城二期,售罄
1613,中旅城仕公馆,售罄
1614,西溪永乐城,售罄
1615,万科大都会79号,售罄
1616,越秀星汇尚城,售罄
1617,奥克斯缔逸城,售罄
1618,赞成龙兴道一号,售罄
1619,中旅紫金名门,售罄
1620,钱塘大观,售罄
1621,昆仑华府,售罄
1622,理想康城一品,售罄
1623,和昌云潮,售罄
1624,万科缦云坊,售罄
1625,宝嘉誉府,售罄
1626,绿城莲园,售罄
1627,和昌云潮,售罄
1628,大江东宝龙广场,售罄
1629,武林外滩,售罄
1630,大美公寓,售罄
1631,富力十号一期,售罄
1632,中海御道,售罄
1633,耀达金鼎华庭,售罄
1634,中梁百悦城,售罄
1635,合景叠彩园,售罄
1636,广大融城印象,售罄
1637,滨江西溪明珠,售罄
1638,宋都晨光国际,售罄
1639,凯德湖墅,售罄
1640,融创金成英特学府,售罄
1641,绿地旭辉城,售罄
1642,万泰城章,售罄
1643,融创富春壹号院,售罄
1644,赞成乐山红叶,售罄
1645,蓝色嘉园,售罄
1646,赞成乐山红叶,售罄
1647,东渡酩悦,售罄
1648,世茂智慧之门,售罄
