,楼盘性质,楼盘单价,开发商名
389,商业,均价 11000元/平,诸暨市诸邦置业有限公司
390,住宅,均价 16800元/平,嘉兴万贤建设开发有限公司
391,别墅,总价 550-1200(万/套),湖州竹胜园房地产有限公司
392,住宅,均价 15000元/平,平湖市鸿正房地产开发有限公司
393,住宅,均价 22500元/平,嘉兴锦川置业有限公司
394,商业,均价 10000元/平,湖州织里浙北大厦购物广场有限公司
395,住宅,均价 13500元/平,嘉兴卓航房地产开发有限公司
396,住宅,均价 31000元/平,绍兴新樾置业有限公司
397,酒店式公寓,均价 9800元/平,绍兴中泰投资置业有限公司
398,住宅,均价 14050元/平,嘉兴锦致置业有限公司
399,别墅,总价 1000(万/套),嘉兴锦致置业有限公司
400,住宅,均价 13000元/平,诸暨康宇房地产开发有限公司
401,住宅,均价 15650元/平,嘉兴臻和置业有限公司
402,住宅,均价 9500元/平,诸暨市远光置业有限公司
403,住宅,均价 23062元/平,桐乡市桐新房地产开发有限公司
404,别墅,总价 350(万/套),湖州悦馨置业有限公司
405,住宅,均价 18000元/平,绍兴云辉置业有限公司
406,别墅,价格待定,暂无信息
407,住宅,总价 268(万/套),杭州启辉置业有限公司
408,住宅,均价 20800元/平,浙江南都置业有限公司
409,住宅,价格待定,杭州万璟置业有限公司
410,住宅,均价 30700元/平,杭州金宸房地产开发有限公司
411,别墅,总价 915(万/套),杭州振兴置业投资有限公司
412,商业类,价格待定,暂无信息
413,商业类,均价 23000元/平,杭州嘉融置业有限公司
414,别墅,总价 388(万/套),杭州创华置业有限公司
415,别墅,价格待定,杭州绿九启奥置业有限公司
416,别墅,价格待定,杭州融悦房地产开发有限公司
417,住宅,均价 40230元/平,杭州盛寅房地产开发有限公司
418,住宅,价格待定,杭州恺泽房地产开发有限公司
419,住宅,均价 59200元/平,金隅中铁诺德（杭州）房地产开发有限公司
420,住宅,均价 47170元/平,兴茂置业（杭州）有限公司
421,住宅,均价 24652元/平,杭州金兴房地产开发有限公司
422,别墅,总价 1284(万/套),杭州盛寅房地产开发有限公司
423,别墅,总价 283(万/套),杭州碧城置业有限公司
424,住宅,均价 33300元/平,杭州滨欣房地产开发有限公司
425,住宅,均价 25200元/平,杭州滨翰房地产开发有限公司
426,别墅,价格待定,杭州良悦置业有限公司
427,别墅,总价 836(万/套),杭州滨翰房地产开发有限公司
428,别墅,总价 2300(万/套),杭州金泓置业有限公司
429,别墅,总价 500(万/套),杭州碧泰置业有限公司
430,别墅,价格待定,暂无信息
431,别墅,价格待定,杭州亚马逊置业有限公司
432,别墅,价格待定,杭州都成置业有限公司
433,别墅,价格待定,杭州泓升房地产开发有限公司
434,别墅,价格待定,杭州恺兴房地产开发有限公司 
435,商业类,均价 23000元/平,杭州新城美佳房地产开发有限公司
436,住宅,均价 15000元/平,临安鸿盛房地产开发有限公司
437,别墅,价格待定,杭州销颖房地产开发有限公司
438,住宅,价格待定,杭州金渝房地产开发有限公司
439,别墅,总价 410(万/套),暂无信息
440,商业类,均价 21000元/平,杭州朗正置业有限公司
441,住宅,价格待定,杭州融恒置业有限公司
442,住宅,价格待定,浙江国恒西溪置业有限公司
443,住宅,总价 283(万/套),杭州东田上庭置业有限公司
444,住宅,价格待定,暂无信息
445,别墅,总价 871(万/套),杭州北辰置业有限公司
446,住宅,总价 628(万/套),杭州融浩置业有限公司
447,别墅,总价 2400(万/套),暂无信息
448,住宅,价格待定,杭州丽湖房地产开发有限公司
449,住宅,价格待定,杭州绿城东和置业有限公司
450,别墅,总价 469(万/套),杭州龙湖房地产开发有限公司
451,别墅,价格待定,杭州鑫贤置业有限公司
452,别墅,总价 526(万/套),杭州滨宏房地产开发有限公司
453,住宅,价格待定,杭州万霖置业有限公司
454,住宅,价格待定,杭州越荣房地产开发有限公司
455,住宅,均价 21300元/平,杭州碧辰置业有限公司
456,住宅,均价 26318元/平,浙江德盛置业有限公司
457,商业类,均价 23000元/平,杭州开元世纪置业有限公司
458,住宅,价格待定,杭州金昇房地产开发有限公司
459,住宅,均价 56000元/平,绿地控股集团杭州东城房地产开发有限公司
460,底商,价格待定,杭州西溪汇金置业有限公司 
461,住宅,价格待定,杭州景帆置业有限公司
462,住宅,均价 18156元/平,杭州碧悦置业有限公司
463,住宅,均价 11500元/平,杭州晶华房地产开发有限公司
464,别墅,总价 400(万/套),杭州恺泽房地产开发有限公司
465,住宅,均价 45800元/平,杭州三湘印象置业有限公司
466,住宅,均价 29800元/平,杭州绿城朝阳置业有限公司
467,别墅,总价 260(万/套),杭州绿城朝阳置业有限公司
468,住宅,价格待定,浙江建投发展房地产开发有限公司
469,商业类,价格待定,杭州威新房地产开发有限公司
470,住宅,价格待定,汇耀置业（杭州）有限公司
471,住宅,价格待定,浙江中大正能量房地产有限公司
472,住宅,价格待定,暂无信息
473,住宅,价格待定,杭州滨江盛元海岸房地产开发有限公司
474,住宅,价格待定,杭州天名房地产有限公司
475,住宅,价格待定,杭州贝利金都置业有限公司
476,别墅,价格待定,保亿置业（杭州）有限公司
477,住宅,均价 70000元/平,杭州世茂嘉年华置业有限公司
478,住宅,价格待定,杭州新城创盛房地产开发有限公司
479,别墅,价格待定,杭州贝利金都置业有限公司
480,住宅,价格待定,杭州紫元康盛房地产开发有限公司
481,住宅,价格待定,暂无信息
482,住宅,价格待定,暂无信息
483,住宅,价格待定,杭州昆盛房地产开发有限公司
484,住宅,均价 35000元/平,杭州中栋房地产开发有限公司
485,住宅,价格待定,杭州臻博房地产开发有限公司
486,住宅,价格待定,杭州振兴置业投资有限公司
487,住宅,价格待定,浙江运河协安置业有限公司
488,住宅,价格待定,杭州保利建锦房地产开发有限公司 
489,商业类,均价 29000元/平,杭州新天地集团有限公司
490,住宅,价格待定,杭州首开龙泰房地产开发有限公司
491,住宅,价格待定,杭州旭开置业有限公司
492,别墅,总价 1180(万/套),杭州振兴置业投资有限公司
493,住宅,均价 31000元/平,杭州嘉凯城滨虹房地产开发有限公司
494,住宅,价格待定,杭州德城置业有限公司
495,住宅,价格待定,暂无信息
496,住宅,价格待定,杭州博越房地产开发有限公司
497,住宅,价格待定,暂无信息
498,住宅,价格待定,暂无信息
499,住宅,价格待定,杭州铭昇达房地产开发有限公司
500,商业类,价格待定,暂无信息
501,住宅,价格待定,杭州滨绿房地产开发有限公司
502,商业类,价格待定,杭州中栋房地产开发有限公司
503,商业类,价格待定,杭州中大圣马置业有限公司
504,住宅,价格待定,杭州晶立置业有限公司
505,住宅,价格待定,杭州余杭雅居乐房地产开发有限公司
506,住宅,价格待定,暂无信息
507,住宅,价格待定,杭州卓越城置业有限公司
508,住宅,价格待定,暂无信息
509,住宅,价格待定,杭州弘筑置业有限公司 
510,住宅,价格待定,中铁房地产集团杭州京兆置业有限公司
511,住宅,价格待定,金隅（杭州）房地产开发有限公司
512,住宅,价格待定,杭州名城博园置业有限公司
513,住宅,价格待定,杭州景腾房地产开发有限公司 
514,住宅,价格待定,杭州安泽房地产开发有限公司 
515,住宅,价格待定,浙江东日房地产开发有限公司
516,商业类,价格待定,杭州信全置业有限公司
517,商业类,价格待定,杭州东宇润城房地产开发有限公司
518,商业类,价格待定,浙江好安好居置业有限公司
519,别墅,价格待定,杭州众安房地产开发有限公司
520,别墅,价格待定,杭州余杭绿城房地产开发有限公司
521,住宅,价格待定,杭州城发置业发展有限公司
522,住宅,价格待定,杭州嘉浩房地产开发有限公司
523,住宅,价格待定,杭州嘉谊置业有限公司
524,住宅,价格待定,杭州万科大家房地产开发有限公司
525,住宅,价格待定,杭州北辰置业有限公司
526,住宅,价格待定,杭州金地香湖房地产开发有限公司
527,住宅,价格待定,暂无信息
528,住宅,价格待定,杭州金樽房地产开发有限公司
529,别墅,价格待定,暂无信息
530,商业类,价格待定,杭州昊元置业有限公司
531,住宅,价格待定,杭州高庆房地产有限公司
532,商业类,均价 40000元/平,杭州欢乐城投资有限公司
533,住宅,价格待定,杭州润安置业有限公司
534,住宅,价格待定,浙江新兰得置业有限公司
535,住宅,价格待定,浙江得力房地产开发有限公司
536,住宅,价格待定,杭州安源房地产开发有限公司
537,住宅,价格待定,杭州万通邦信置业有限公司
538,住宅,价格待定,杭州东晖房地产开发有限公司
539,住宅,总价 94(万/套),浙江嘉丰房地产开发有限公司 
540,商业类,价格待定,富邦置业集团有限公司  
541,住宅,价格待定,淮矿地产（杭州）有限公司
542,住宅,均价 23740元/平,杭州新东海置业有限公司
543,住宅,价格待定,杭州越秀房地产开发有限公司
544,住宅,价格待定,杭州新城鼎佳房地产开发有限公司 
545,住宅,价格待定,杭溪隆业房地产（杭州）有限公司
546,住宅,价格待定,杭州林庐房地产开发有限公司 
547,住宅,价格待定,锦兴房地产开发（杭州）有限公司
548,住宅,价格待定,杭州恺筑融信房地产开发有限公司
549,住宅,价格待定,杭州万溢置业有限公司
550,住宅,价格待定,杭州联富房地产开发有限公司
551,住宅,价格待定,望华房地产（杭州）有限公司
552,商业类,价格待定,浙江全景置业有限公司
553,住宅,价格待定,杭州新城创佳房地产开发有限公司
554,住宅,价格待定,浙江大华房地产开发有限公司
555,住宅,价格待定,暂无信息
556,住宅,价格待定,杭州上实置业有限公司
557,住宅,价格待定, 杭州碧桂园房地产开发有限公司
558,住宅,价格待定,暂无信息
559,住宅,价格待定,杭州中华企业房地产发展有限公司
560,商业类,价格待定,浙江玉海房地产开发有限公司
561,住宅,总价 355(万/套),杭州金成金都置业有限公司
562,别墅,价格待定,杭州金成金都置业有限公司
563,住宅,价格待定,杭州龙瑞房地产开发有限公司
564,商业类,价格待定,杭州滨江商博房地产开发有限公司
565,住宅,价格待定,杭州尚诚置业有限公司
566,住宅,价格待定,浙江万科南都房地产有限公司
567,住宅,价格待定,杭州万鼎置业有限公司
568,住宅,价格待定,招商局地产（杭州）有限公司
569,住宅,价格待定,暂无信息
570,住宅,价格待定,杭州滨润房地产开发有限公司
571,住宅,价格待定,杭州万旭置业有限公司
572,住宅,总价 172(万/套),浙江华成置业发展有限公司
573,住宅,价格待定,杭州启富房地产开发有限公司
574,住宅,价格待定,杭州金来房地产开发有限公司
575,住宅,价格待定,浙江北大资源地产有限公司
576,商业类,均价 27000元/平,杭州天泽房地产开发有限公司 
577,别墅,价格待定,杭州美林房地产开发有限公司
578,住宅,价格待定,杭州天帆置业有限公司
579,住宅,总价 182(万/套),杭州亚马逊置业有限公司
580,住宅,价格待定,浙江南都置业有限公司
581,住宅,价格待定,杭州金来房地产开发有限公司
582,住宅,价格待定,杭州京瑞置业有限公司
583,住宅,均价 31500元/平,杭州濠江房地产开发有限公司 
584,住宅,价格待定,杭州万通杭昀置业有限公司
585,住宅,价格待定,暂无信息
586,住宅,价格待定,杭州首开旭泰房地产开发有限公司
587,住宅,价格待定,杭州凯华投资有限公司
588,住宅,价格待定,杭州锦繁置业有限公司
589,住宅,价格待定,杭州祥生弘远房地产开发有限公司
590,别墅,总价 621(万/套),杭州百合房地产开发有限公司
591,商业类,均价 31280元/平,杭州信融置业有限公司
592,住宅,价格待定,暂无信息
593,别墅,价格待定,浙江物产良渚花苑房地产开发有限公司
594,住宅,价格待定,杭州野风欣代房地产开发有限公司 
595,住宅,价格待定,温州大都市建设开发有限公司余杭分公司
596,住宅,价格待定,杭州尼罗河置业有限公司
597,别墅,总价 1678(万/套),杭州尼罗河置业有限公司
598,住宅,均价 22799元/平,暂无信息
599,住宅,价格待定,暂无信息
600,别墅,价格待定,暂无信息
601,住宅,价格待定,杭州中港绿泰房地产开发有限公司
602,别墅,总价 2368(万/套),杭州新城创宏房地产开发有限公司
603,别墅,价格待定,暂无信息
604,商业类,价格待定,暂无信息
605,住宅,价格待定,浙江天都实业有限公司
606,商业类,价格待定,杭州泰地置业有限公司
607,商业类,价格待定,杭州明石置业有限公司
608,商业类,价格待定,杭州港龙置业有限公司
609,住宅,价格待定,杭州西溪山庄房地产开发有限公司
610,别墅,价格待定,杭州林庐房地产开发有限公司 
611,商业类,价格待定,杭州新明置业投资有限公司
612,商业类,均价 40000元/平,杭州中月置业有限公司
613,住宅,均价 13500元/平,杭州百合房地产开发有限公司
614,商业类,价格待定,暂无信息
615,别墅,价格待定,杭州润鸿置业有限公司
616,别墅,价格待定,杭州滨江盛元海岸房地产开发有限公司
617,商业类,价格待定,杭州众安盛隆鲤鱼门置业有限公司
618,别墅,价格待定,杭溪隆业房地产（杭州）有限公司
619,别墅,价格待定,暂无信息
620,商业类,价格待定,暂无信息
621,别墅,价格待定,浙江百家乐房地产开发有限公司
622,住宅,价格待定,杭州旭广置业有限公司
623,住宅,价格待定,暂无信息
624,商业类,价格待定,杭州淘天地房地产开发有限公司
625,商业类,价格待定,浙江弄口恒祺置业有限公司
626,商业类,价格待定,杭州余杭奥克斯古墩置业有限公司
627,住宅,价格待定,杭州恺泽房地产开发有限公司
628,别墅,价格待定,杭州恺泽房地产开发有限公司
629,别墅,价格待定,杭州金来房地产开发有限公司
630,住宅,价格待定,杭州润都房地产开发有限公司
631,住宅,价格待定,杭州建申房地产开发有限公司
632,住宅,价格待定,暂无信息
633,别墅,价格待定,杭州嘉浩房地产开发有限公司
634,住宅,价格待定,暂无信息
635,商业类,价格待定,杭州绿凯房地产开发有限公司
636,住宅,价格待定,杭州梦溪房地产开发有限公司
637,住宅,价格待定,杭州华瑞房地产开发有限公司
638,住宅,价格待定,杭州恒和蕾束置业有限公司
639,别墅,总价 353(万/套),杭州恒和蕾束置业有限公司
640,住宅,价格待定,暂无信息
641,住宅,价格待定,杭州洲际房地产开发有限公司 
642,住宅,总价 190(万/套),杭州明华置业有限公司
643,别墅,价格待定,杭州明华置业有限公司
644,别墅,价格待定,桐庐大奇山郡置业有限公司
645,别墅,价格待定,杭州财和房地产开发有限公司
646,别墅,价格待定,杭州世茂新里程置业有限公司
647,商业类,价格待定,杭州新宏房地产开发有限公司
648,住宅,价格待定,暂无信息
649,住宅,价格待定,浙江广鸿房地产开发有限公司
650,住宅,价格待定,广宇集团股份有限公司
651,别墅,价格待定,杭州开元世纪置业有限公司
652,住宅,价格待定,顺发恒业有限公司
653,写字楼,价格待定,海墅房地产开发（杭州）有限公司
654,商业,均价 40000元/平,浙江和润天成置业有限公司
655,写字楼,价格待定,杭州富亿房地产开发有限公司
656,写字楼,价格待定,杭州远洋运河商务区开发有限公司
657,别墅,总价 600(万/套),杭州梦溪房地产开发有限公司
658,别墅,总价 1100(万/套),杭州华滋绿城房地产有限公司
659,商业类,价格待定,杭州理想银泰购物中心有限公司
660,商业类,价格待定,杭州宝龙房地产开发有限公司
661,商业类,价格待定,杭州合能房地产开发有限公司
662,写字楼,均价 23000元/平,杭州淘天地房地产开发有限公司
663,别墅,价格待定,杭州瑞富房地产开发有限公司
664,住宅,价格待定,杭州隽安房地产开发有限公司
665,商业类,价格待定,杭州拓江置业有限公司
666,住宅,价格待定,杭州龙禧房地产开发有限公司
667,别墅,总价 1450(万/套),杭州绿野房地产开发有限公司
668,商业类,均价 25000元/平,杭州大涵置业有限公司
669,商业类,价格待定,杭州世融汇盈置业有限公司
670,商业类,价格待定,杭州绿都实业投资有限公司
671,商业,价格待定,杭州新明置业投资有限公司
672,住宅,价格待定,杭州澳澜房地产开发有限公司
673,住宅,价格待定,杭州新融盛耀置业有限公司
674,住宅,价格待定,杭州蓝源置业有限公司
675,住宅,价格待定,杭州白鹭房地产开发有限公司
676,商业,价格待定,浙江卓伟置业有限公司
677,商业类,价格待定,暂无信息
678,住宅,价格待定,浙江康誉置业有限公司
679,住宅,价格待定,暂无信息
680,别墅,价格待定,杭州钱江城发展有限公司
681,别墅,价格待定,杭州万宁置业有限公司
682,商业类,价格待定,杭州富力房地产开发有限公司
683,别墅,价格待定,杭州益荣房地产开发有限公司
684,别墅,总价 595(万/套),临安西子房地产开发有限公司
685,住宅,价格待定,杭州京滨置业有限公司
686,住宅,均价 15289元/平,杭州临安南洋房地产有限公司
687,住宅,价格待定,杭州明华置业有限公司
688,住宅,价格待定,杭州美孚房地产开发有限公司
689,商业类,价格待定,杭州万通时尚置业有限公司
690,别墅,价格待定,杭州翡翠城房地产开发有限公司
691,别墅,价格待定,杭州金世纪房地产开发有限公司
692,别墅,价格待定,杭州滨江盛元房地产开发有限公司
693,别墅,总价 600(万/套),富阳东润置业有限公司
694,别墅,价格待定,浙江南都置业有限公司
695,住宅,价格待定,淳安大千古街旅游开发有限公司
696,别墅,价格待定,临安中天房地产开发有限公司
697,别墅,价格待定,暂无信息
698,别墅,价格待定,金隅（杭州）房地产开发有限公司
699,别墅,总价 369(万/套),暂无信息
700,别墅,总价 72(万/套),浙江三江房地产开发有限公司
701,住宅,价格待定,杭州龙湖房地产开发有限公司
702,别墅,价格待定,杭州新城鼎佳房地产开发有限公司 
703,别墅,价格待定,浙江南都置业有限公司
704,住宅,价格待定,杭州萧山梅花楼置业有限公司
705,商业,均价 25000元/平,杭州港龙置业有限公司
706,商业,均价 35000元/平,暂无信息
707,商业类,价格待定,暂无信息
708,住宅,价格待定,杭州百达房地产开发有限公司
709,住宅,价格待定,杭州长龙置业有限公司
710,住宅,价格待定,杭州鹏跃置业有限公司
711,住宅,价格待定,杭州金世纪房地产开发有限公司
712,住宅,价格待定,杭州益荣房地产开发有限公司
713,住宅,价格待定,杭州新城德佳房地产开发有限公司
714,商业,价格待定,暂无信息
715,住宅,价格待定,杭州瑞金房地产有限公司 
716,住宅,价格待定,浙江金澳置业有限公司
717,住宅,价格待定,杭州和昌置业发展有限公司
718,住宅,价格待定,暂无信息
719,住宅,价格待定,杭州祥生弘盛房地产开发有限公司
720,别墅,价格待定,杭州祥生弘盛房地产开发有限公司
721,住宅,价格待定,杭州融御置业有限公司
722,别墅,价格待定,杭州奥诚房地产有限公司
723,住宅,均价 12000元/平,浙江金诺房地产开发有限公司
724,住宅,均价 16396元/平,暂无信息
725,住宅,价格待定,杭州朗优置业有限公司
726,住宅,均价 21100元/平,杭州富阳碧水源房地产有限公司
727,住宅,价格待定,杭州融汇前江置业有限公司
728,住宅,价格待定,海宁祥生房地产开发有限公司
729,住宅,均价 65981元/平,暂无信息
730,住宅,均价 13000元/平,杭州复泰旅游开发有限公司
731,别墅,总价 652(万/套),杭州复泰旅游开发有限公司
732,住宅,价格待定,杭州千岛湖望湖度假村有限公司
733,住宅,价格待定, 杭州千岛湖房地产开发有限公司
734,商业,价格待定,杭州尚诚置业有限公司
735,商业,价格待定,杭州草庄置业有限公司
736,写字楼,价格待定,杭州中大圣马置业有限公司
737,别墅,价格待定,暂无信息
738,商业,价格待定,杭州恒都房地产开发有限公司
739,写字楼,价格待定,杭州中基太平洋置业有限公司
740,商业,价格待定,杭州萧水投资置业有限公司
741,写字楼,价格待定,杭州广盛置业有限公司
742,商业,价格待定,杭州亿丰亿贤置业有限公司
743,商业,总价 300(万/套),富阳华都山水房地产开发有限公司 
744,写字楼,总价 350(万/套),华润置地（杭州）发展有限公司
745,写字楼,价格待定,杭州海威房地产开发有限公司
746,写字楼,价格待定,杭州金汇房地产开发有限公司
747,商业,价格待定,杭州倍邦置业有限公司
748,商业,价格待定,暂无信息
749,商业,价格待定,杭州原禾安芯置业有限公司
750,商业,均价 30000元/平,港中旅成得（杭州）置业有限公司
751,写字楼,价格待定,暂无信息
752,住宅,价格待定,杭州鸿都置业有限公司
753,写字楼,价格待定,绿地控股集团（浙江）房地产开发有限公司
754,住宅,价格待定,杭州京科置业有限公司
755,商业,均价 30000元/平,杭州万泽实业发展有限公司
756,写字楼,价格待定,杭州蒋村新区建设有限公司
757,商业,价格待定,浙江双鎏置业有限公司
758,住宅,均价 18928元/平,杭州东海春房地产开发有限公司
759,写字楼,价格待定,杭州鹏龙实业投资有限公司
760,商业,均价 60000元/平,杭州安泽房地产开发有限公司 
761,商业类,价格待定,富阳天鸿房地产开发有限公司
762,商业类,价格待定,杭州天城房地产开发有限公司
763,商业,总价 315(万/套),杭州越隽房地产开发有限公司
764,商业,价格待定,杭州褐石房地产开发有限公司  
765,商业类,均价 40000元/平,浙江中冠房地产开发有限公司 
766,写字楼,价格待定,杭州中豪五星国际置业有限公司
767,别墅,价格待定,杭州钱塘房地产开发集团有限公司
768,商业,均价 40000元/平,浙江胤超置业有限责任公司
769,商业,总价 150(万/套),浙江好安好居置业有限公司
770,商业,总价 200(万/套),杭州万鼎置业有限公司
771,商业类,价格待定,杭州涛巴京实业有限公司
772,商业,价格待定,杭州涛巴京实业有限公司
773,住宅,价格待定,杭州中铁和丰置业有限公司 
774,住宅,价格待定,杭州滨旭置业有限公司
775,写字楼,价格待定, 杭州越辉房地产开发有限公司
776,别墅,价格待定,杭州东晖房地产开发有限公司
777,住宅,价格待定,杭州金世纪房地产开发有限公司
778,商业类,均价 40000元/平,杭州纽安能置业有限公司
779,住宅,价格待定,杭州新城松郡房地产开发有限公司
780,别墅,价格待定,杭州隽安房地产开发有限公司
781,写字楼,价格待定,杭州盛旺君投资有限公司
782,商业,价格待定,杭州恺筑融信房地产开发有限公司
783,商业,均价 35000元/平,暂无信息
784,别墅,价格待定,杭州恺融房地产开发有限公司
785,商业,价格待定,暂无信息
786,住宅,价格待定,杭州恺融房地产开发有限公司
787,商业类,价格待定,暂无信息
788,商业,价格待定,暂无信息
789,住宅,价格待定,杭州中惠房地产开发有限公司
790,商业类,价格待定,浙江北大资源地产有限公司
791,商业类,均价 27000元/平,杭州云泽置业有限公司
792,住宅,价格待定,暂无信息
793,住宅,价格待定,杭州滨通房地产开发有限公司
794,住宅,均价 34742元/平,杭州弘驿置业有限公司
795,写字楼,价格待定,暂无信息
796,商业,价格待定,暂无信息
797,商业,价格待定,暂无信息
798,商业,均价 22000元/平,杭州余杭雅居乐房地产开发有限公司
799,商业类,均价 20000元/平,金隅（杭州）房地产开发有限公司
800,住宅,价格待定,杭州金合置业有限公司
801,商业类,价格待定,杭州钱江浮山房地产开发有限公司
802,别墅,总价 660(万/套),杭州中港绿泰房地产开发有限公司
803,商业类,均价 14500元/平,杭州复泰旅游开发有限公司
804,商业类,价格待定,暂无信息
805,写字楼,价格待定,杭州富春硅谷投资有限公司
806,商业,总价 288(万/套),杭州鹏浩置业有限公司
807,写字楼,均价 14500元/平,杭州天达置业有限公司
808,商业类,均价 42000元/平,杭州三花国际大厦有限公司
809,写字楼,价格待定,杭州合诚置业有限公司
810,写字楼,均价 45000元/平,浙江爱茵霍芬置业有限公司
811,写字楼,价格待定,杭州余杭西子置业有限公司
812,写字楼,价格待定,杭州墅源房地产开发有限公司
813,写字楼,价格待定,杭州九鑫投资有限公司
814,别墅,价格待定,杭州通策宝群置业有限公司
815,住宅,价格待定,杭州恺兴房地产开发有限公司 
816,写字楼,价格待定,杭州金基房地产开发有限公司
817,住宅,均价 14000元/平,杭州千岛湖安通房地产开发有限公司
818,商业,价格待定,暂无信息
819,商业类,价格待定,暂无信息
820,写字楼,均价 28000元/平,杭州和景置业有限公司
821,商业,价格待定,杭州恺筑融信房地产开发有限公司
822,写字楼,均价 17500元/平,富阳海通房地产有限公司
823,商业,均价 35000元/平,杭州昆盛房地产开发有限公司
824,商业,均价 32000元/平,浙江中冠房地产开发有限公司 
825,住宅,价格待定,杭州融悦房地产开发有限公司
826,住宅,价格待定,杭州融欣房地产开发有限公司
827,住宅,价格待定,杭州万宁置业有限公司
828,住宅,价格待定, 杭州碧桂园房地产开发有限公司
829,商业类,均价 25000元/平,杭州钧顺房地产开发有限公司
830,住宅,价格待定,浙江天都实业有限公司
831,商业,价格待定,招商局地产（杭州）有限公司
832,别墅,价格待定,杭州新城德佳房地产开发有限公司
833,商业,价格待定,杭州龙元房地产开发有限公司
834,住宅,价格待定,杭州祥生弘景房地产开发有限公司
835,商业,价格待定,暂无信息
836,商业类,价格待定,浙江恒发置业有限公司
837,商业类,均价 32000元/平,浙江影视产业国际合作实验区西溪实业有限公司
838,住宅,价格待定,杭州龙昊房地产开发有限公司
839,住宅,价格待定,杭州万珑置业有限公司
840,商业,价格待定,杭州广都投资有限公司
841,商业,价格待定,杭州博越房地产开发有限公司
842,商业类,均价 21000元/平,浙江海陆控股集团有限公司
843,商业,价格待定,杭州首开龙泰房地产开发有限公司
844,商业,均价 40000元/平,杭州宝旭房地产开发有限公司
