,楼盘性质,楼盘单价,开发商名
1257,住宅,价格待定,杭州益光房地产开发有限公司
1258,住宅,均价 35664元/平,杭州西曙置业有限公司
1259,别墅,总价 124(万/套),杭州盛建置业有限公司
1260,住宅,均价 25600元/平,杭州昌赫置业有限公司
1261,别墅,价格待定,杭州昌赫置业有限公司
1262,住宅,均价 46500元/平,杭州龙誉投资管理有限公司
1263,住宅,均价 28800元/平,中铁诺德（杭州）置业有限公司
1264,底商,价格待定,杭州星澳置业有限公司
1265,住宅,均价 18000元/平,杭州嘉正置业有限公司
1266,住宅,均价 25200元/平,杭州中建申杭房地产开发有限公司
1267,别墅,总价 693(万/套),杭州中建申杭房地产开发有限公司
1268,别墅,总价 480(万/套),桐庐碧辰置业有限公司
1269,住宅,均价 19500元/平,桐庐碧辰置业有限公司
1270,商业类,均价 15000元/平,杭州富阳金启房地产开发有限公司
1271,商业类,均价 24500元/平,杭州科融置业有限公司
1272,商业类,均价 32000元/平,浙江华联杭州湾创业有限公司
1273,住宅,价格待定,葛洲坝（杭州）房地产开发有限公司
1274,住宅,均价 21000元/平,杭州地上房地产集团有限公司
1275,住宅,均价 26600元/平,杭州临创置业有限公司
1276,别墅,总价 456(万/套),杭州临创置业有限公司
1277,住宅,均价 54011元/平,龙鼎房地产（杭州）有限公司
1278,住宅,均价 47973元/平,杭州中冶名锦房地产开发有限公司
1279,住宅,均价 38300元/平,杭州南兴房地产开发有限公司
1280,别墅,总价 624(万/套),杭州南兴房地产开发有限公司
1281,底商,均价 23000元/平,暂无信息
1282,住宅,均价 10000元/平,建德市乾潭商会大厦开发建设有限公司
1283,商业类,均价 29000元/平,杭州西太华坤生房地产有限公司
1284,住宅,均价 46500元/平,长淮信达地产有限公司
1285,住宅,均价 54264元/平,龙景房地产（杭州）有限公司
1286,住宅,均价 26500元/平,杭州润珹房地产开发有限公司
1287,住宅,均价 28193元/平,杭州创蜀房地产开发有限责任公司
1288,商业类,均价 41000元/平,杭州合威置业有限公司
1289,住宅,价格待定,杭州绿润置业有限公司
1290,住宅,价格待定,暂无信息
1291,住宅,价格待定,杭州承惠房地产开发有限公司
1292,别墅,价格待定,杭州通策宝群置业有限公司
1293,住宅,价格待定,杭州鑫怡置业有限公司
1294,别墅,价格待定,杭州鑫怡置业有限公司
1295,商业类,均价 13500元/平,浙江德璟置业有限公司
1296,商业类,均价 28000元/平,浙江星达置业有限公司
1297,住宅,价格待定,杭州中海海创房地产有限公司
1298,住宅,均价 15000元/平,临安园丁置业有限公司
1299,住宅,均价 25000元/平,杭州正梁置业有限公司
1300,别墅,总价 608(万/套),杭州正梁置业有限公司
1301,别墅,总价 1408.8(万/套),杭州德淼置业有限公司
1302,别墅,总价 560(万/套),浙江朝华房地产开发有限公司
1303,住宅,均价 17800元/平,杭州卓林置业有限公司
1304,住宅,价格待定,杭州融朗房地产开发有限公司
1305,住宅,价格待定,杭州德信润楠置业有限公司
1306,别墅,总价 951(万/套),杭州德信润楠置业有限公司
1307,住宅,均价 13600元/平,杭州萧山银城置业有限公司
1308,住宅,价格待定,杭州佳裕置业有限公司
1309,住宅,价格待定,淳安碧桂园房地产开发有限公司
1310,别墅,价格待定,淳安碧桂园房地产开发有限公司
1311,住宅,均价 18900元/平,杭州锦圆置业有限公司
1312,住宅,均价 19000元/平,杭州融伦置业有限公司
1313,住宅,均价 38500元/平,杭州丰涛置业有限公司
1314,住宅,均价 19700元/平,杭州弘利房地产开发有限公司
1315,别墅,总价 592(万/套),杭州弘利房地产开发有限公司
1316,住宅,均价 43427元/平,杭州锦府置业有限公司
1317,商业类,均价 20000元/平,杭州瑞胜置业有限公司
1318,住宅,均价 35000元/平,杭州首开润泰置业有限公司
1319,别墅,总价 1555.2(万/套),杭州首开润泰置业有限公司
1320,商业类,均价 15000元/平,金隅（杭州）房地产开发有限公司
1321,住宅,总价 363(万/套),杭州嘉裕房地产开发经营有限公司
1322,住宅,均价 23600元/平,中交美庐（杭州）置业有限公司
1323,别墅,价格待定,中交美庐（杭州）置业有限公司
1324,住宅,总价 115(万/套),中量建工股份有限公司
1325,住宅,均价 19000元/平,浙江朝华房地产开发有限公司
1326,商业类,均价 43000元/平,杭州国逸实业有限公司
1327,住宅,均价 15700元/平,杭州富阳瑞宸房地产有限公司
1328,别墅,总价 1167(万/套),杭州嘉裕房地产开发经营有限公司
1329,商业,价格待定,暂无信息
1330,住宅,均价 50000元/平,杭州绿城风华房地产开发有限公司
1331,住宅,价格待定,杭州西湖房地产集团有限公司
1332,别墅,总价 368(万/套),暂无信息
1333,住宅,均价 16800元/平,杭州德凯置业有限公司
1334,商业类,均价 12000元/平,杭州临安锦科实业投资有限公司
1335,别墅,总价 400(万/套),银城地产集团股份有限公司
1336,商业类,均价 16000元/平,杭州展骧实业有限公司
1337,别墅,总价 493(万/套),暂无信息
1338,住宅,均价 37500元/平,杭州滨原房地产开发有限公司
1339,住宅,均价 15600元/平,杭州香墅湾房地产开发有限公司
1340,别墅,总价 392(万/套),杭州香墅湾房地产开发有限公司
1341,住宅,总价 472(万/套),杭州滨乾房地产开发有限公司
1342,别墅,总价 440(万/套),杭州嘉怡置业有限公司
1343,别墅,总价 776(万/套),杭州西曙置业有限公司
1344,住宅,价格待定,杭州钰杭房地产开发有限公司
1345,住宅,均价 50204元/平,杭州杭天房地产开发有限公司
1346,别墅,总价 358(万/套),杭州越星房地产开发有限公司
1347,住宅,均价 46600元/平,杭州钰杭房地产开发有限公司
1348,住宅,均价 46000元/平,杭州京宏房地产开发有限公司
1349,别墅,均价 60600元/平,杭州京宏房地产开发有限公司
1350,住宅,均价 22500元/平,杭州富阳万达置业有限公司
1351,住宅,均价 46500元/平,杭州滨沁房地产开发有限公司
1352,住宅,价格待定,杭州世茂新领航房地产有限责任公司
1353,住宅,均价 18880元/平,杭州杭秀房地产开发有限公司
1354,别墅,总价 1260(万/套),杭州滨沁房地产开发有限公司
1355,别墅,总价 400(万/套),杭州杭秀房地产开发有限公司
1356,住宅,均价 25600元/平,杭州金越房地产开发有限公司
1357,住宅,均价 37500元/平,杭州绿城启兴置业有限公司
1358,别墅,总价 1047(万/套),杭州创蜀房地产开发有限责任公司
1359,别墅,价格待定,浙江国恒西溪置业有限公司
1360,住宅,均价 18300元/平,杭州嘉珺房地产开发有限公司
1361,住宅,均价 56000元/平,暂无信息
1362,别墅,总价 987(万/套),杭州茂国悦盈置业有限公司
1363,住宅,均价 22000元/平,杭州荣尚置业有限公司
1364,别墅,均价 45200元/平,杭州金越房地产开发有限公司
1365,住宅,均价 13667元/平,杭州萧山城区建设有限公司
1366,别墅,总价 551(万/套),临安园丁置业有限公司
1367,住宅,均价 37500元/平,杭州滨御房地产开发有限公司
1368,住宅,均价 18000元/平,杭州之江万固置业有限公司
1369,住宅,均价 36000元/平,杭州荣福置业有限公司
1370,别墅,均价 40000元/平,杭州荣福置业有限公司
1371,住宅,均价 37500元/平,杭州绿城浙帆置业有限公司
1372,住宅,均价 46500元/平,杭州港中旅钱江城市发展有限公司
1373,住宅,均价 33500元/平,杭州滨得房地产开发有限公司
1374,住宅,均价 49657元/平,杭州滨音企业管理有限公司
1375,住宅,均价 27800元/平,杭州临光房地产开发有限公司
1376,别墅,总价 443(万/套),杭州临光房地产开发有限公司
1377,住宅,价格待定,杭州融辉铭著实业有限公司
1378,住宅,均价 32500元/平,杭州锦瑜置业有限公司
1379,住宅,均价 11020元/平,杭州萧山华景川房地产开发有限公司
1380,住宅,均价 32200元/平,杭州锦澜置业有限公司
1381,住宅,价格待定,杭州临安同人置业有限公司
1382,住宅,均价 17000元/平,杭州临安龙兴房地产开发有限公司
1383,住宅,均价 56900元/平,杭州绿城致昇置业有限公司
1384,住宅,均价 20500元/平,杭州星信置业有限公司
1385,住宅,均价 27800元/平,杭州励东房地产开发有限公司
1386,住宅,均价 47000元/平,杭州滨博房地产开发有限公司
1387,住宅,价格待定,杭州鑫建辉实业有限公司
1388,住宅,均价 16300元/平,杭州鸿扬投资管理有限公司
1389,住宅,均价 24000元/平,杭州嘉玥房地产开发有限公司
1390,别墅,总价 397(万/套),杭州嘉玥房地产开发有限公司
1391,住宅,均价 40100元/平,杭州天钰房地产开发有限公司
1392,别墅,总价 775(万/套),杭州天钰房地产开发有限公司
1393,住宅,价格待定,杭州金虹置业有限公司
1394,住宅,均价 27700元/平,杭州星滨置业有限公司
1395,别墅,总价 483(万/套),杭州融伦置业有限公司
1396,住宅,均价 46500元/平,杭州骏兴置业有限公司
1397,住宅,均价 43179元/平,杭州金贤房地产开发有限公司
1398,住宅,均价 30489元/平,联发集团杭州联嘉房地产开发有限公司
1399,住宅,均价 33000元/平,杭州锦昱置业有限公司
1400,住宅,均价 44900元/平,杭州禹翔房地产开发有限公司
1401,住宅,均价 69800元/平,杭州滨融房地产开发有限公司
1402,住宅,均价 45000元/平,杭州嘉佑置业有限公司
1403,住宅,均价 56900元/平,杭州中海启晖房地产有限公司
1404,住宅,均价 47000元/平,杭州碧光房地产开发有限公司
1405,别墅,总价 676(万/套),杭州恒盛置业有限公司
1406,住宅,价格待定,杭州祥生宜信房地产开发有限公司
1407,住宅,均价 25000元/平,暂无信息
1408,住宅,均价 19800元/平,杭州星雨置业有限公司
1409,住宅,均价 30000元/平,杭州龙湖房地产开发有限公司
1410,住宅,均价 19000元/平,杭州光润置业有限公司
1411,住宅,均价 23000元/平,保亿丽光（杭州）置业有限公司
1412,住宅,均价 28500元/平,理想四维地产集团有限公司
1413,住宅,均价 10334元/平,杭州嘉灿房地产开发有限公司
1414,别墅,总价 389(万/套),杭州嘉灿房地产开发有限公司
1415,住宅,价格待定,杭州美润房地产有限公司
1416,商业类,均价 32000元/平,暂无信息
1417,住宅,均价 22000元/平,杭州明道房地产开发有限公司
1418,住宅,均价 22300元/平,浙江新广发置业有限公司
1419,住宅,均价 37500元/平,杭州融浩置业有限公司
1420,商业类,均价 20000元/平,嘉凯城城镇化建设发展（余杭闲林）有限公司
1421,别墅,总价 2765(万/套),杭州滨融房地产开发有限公司
1422,住宅,均价 37500元/平,保利（杭州）房地产开发有限公司
1423,住宅,均价 20800元/平,杭州铭筑房地产开发有限公司
1424,住宅,均价 19500元/平,杭州德信富东置业有限公司
1425,住宅,均价 28700元/平,杭州隽胜置业有限公司
1426,住宅,均价 28500元/平,杭州锦官置业有限公司
1427,别墅,总价 855(万/套),暂无信息
1428,住宅,均价 15100元/平,杭州九城置业有限公司
1429,住宅,均价 19800元/平,杭州隽伟置业有限公司
1430,住宅,均价 21000元/平,杭州桐恒置业有限公司
1431,住宅,均价 33000元/平,杭州北和置业有限公司
1432,别墅,总价 744(万/套),暂无信息
1433,住宅,均价 28000元/平,杭州卓越润达置业有限公司
1434,住宅,均价 30000元/平,杭州冬宇房地产开发有限公司
1435,住宅,均价 37500元/平,杭州元融坤房地产开发有限公司
1436,住宅,均价 30540元/平,杭州名城博园置业有限公司
1437,住宅,均价 21000元/平,浙江天都实业有限公司
1438,住宅,均价 47000元/平,杭州滨儒企业管理有限公司
1439,住宅,均价 34000元/平,暂无信息
1440,住宅,均价 37040元/平,杭州瀚置和悦实业发展有限公司
1441,住宅,均价 23047元/平,杭州兴湖置业有限公司
1442,住宅,均价 33400元/平,杭州北辰京诚置业有限公司
1443,别墅,总价 650(万/套),杭州北辰京诚置业有限公司
1444,住宅,均价 33000元/平,杭州滨丰房地产开发有限公司
1445,住宅,均价 40800元/平,杭州惠烜有限公司
1446,住宅,均价 20500元/平,杭州众安银湖房地产开发有限公司
1447,商业类,均价 35000元/平,暂无信息
1448,住宅,均价 20800元/平,暂无信息
1449,住宅,均价 18550元/平,杭州临安新都房地产开发有限公司
1450,住宅,均价 37500元/平,杭州星熙置业有限公司
1451,住宅,均价 23000元/平,杭州隽劲置业有限公司
1452,住宅,均价 20800元/平,杭州锦衡置业有限公司
1453,住宅,均价 15100元/平,杭州临安新都房地产开发有限公司
1454,住宅,均价 40500元/平,金隅瀚潮（杭州）房地产开发有限公司
1455,住宅,均价 42400元/平,杭州花创房地产开发有限公司
1456,商业类,均价 45000元/平,杭州融歆房地产开发有限公司
1457,商业类,均价 28500元/平,杭州科筑投资开发有限公司
1458,住宅,均价 23000元/平,杭州祥生宜远房地产开发有限公司
1459,住宅,均价 23000元/平,杭州隽恒置业有限公司
1460,住宅,均价 20563元/平,杭州绿城银湖置业有限公司
1461,住宅,均价 47000元/平,杭州绿城浙昱置业有限公司
1462,住宅,均价 36900元/平,杭州众安白马房地产开发有限公司
1463,住宅,均价 34500元/平,杭州石宸置业有限公司
1464,住宅,均价 14600元/平,杭州三升置业发展有限公司
1465,住宅,均价 18000元/平,杭州大华新湾房地产开发有限公司
1466,住宅,均价 29800元/平,杭州滨宇房地产开发有限公司
1467,别墅,总价 846(万/套),杭州金唐房地产开发有限公司
1468,住宅,均价 23000元/平,杭州绿臻置业有限公司
1469,住宅,均价 23000元/平,杭州西湖房地产集团有限公司
1470,商业,价格待定,杭州晋烜房地产开发有限公司
1471,住宅,均价 25000元/平,杭州艺尚建设开发有限公司
1472,住宅,均价 17900元/平,杭州地上集团城南房地产有限公司
1473,住宅,均价 37500元/平,杭州滨荣房地产开发有限公司
1474,住宅,均价 46500元/平,杭州德信产业发展有限公司
1475,住宅,均价 30000元/平,杭州德信九乔置业有限公司
1476,住宅,价格待定,杭州滨合房地产开发有限公司
1477,住宅,均价 16100元/平,杭州金戴房地产开发有限公司
1478,住宅,均价 45000元/平,杭州康浩置业有限公司
1479,住宅,均价 34000元/平,杭州滨昌房地产开发有限公司
1480,住宅,均价 36000元/平,杭州祥麟置业有限公司
1481,住宅,均价 33500元/平,杭州丰麟置业有限公司
1482,住宅,均价 37478元/平,杭州茶镇置业开发有限公司
1483,别墅,均价 49000元/平,甘建投（杭州）房地产有限公司
1484,住宅,均价 22988元/平,杭州新城创宏房地产开发有限公司
1485,住宅,均价 33500元/平,杭州萧麟置业有限公司
1486,住宅,均价 47000元/平,杭州康丰置业有限公司
1487,别墅,总价 500(万/套),杭州新城英冠鸿轩房地产开发有限公司
1488,住宅,均价 33500元/平,顺发恒业有限公司
1489,住宅,均价 38000元/平,杭州融益房地产开发有限公司
1490,住宅,均价 40000元/平,杭州远宸建祥置业有限公司
1491,底商,均价 50000元/平,杭州科融置业有限公司
1492,住宅,均价 26000元/平,杭州大华青山湖房地产开发有限公司
1493,商业类,均价 22000元/平,嘉凯城城镇化建设发展（余杭星桥）有限公司
1494,住宅,均价 30000元/平,杭州旅投房地产开发有限公司
1495,住宅,均价 30000元/平,杭州敏景房地产开发有限公司
1496,住宅,均价 27452元/平,杭州桃李湖滨房地产开发有限公司
1497,别墅,总价 560(万/套),杭州桃李湖滨房地产开发有限公司
1498,住宅,均价 34000元/平,杭州滨航房地产开发有限公司
1499,住宅,均价 45000元/平,杭州滨泰房地产开发有限公司
1500,住宅,均价 28100元/平,杭州融洽实业有限公司
1501,住宅,均价 58000元/平,杭州兆欣房地产有限公司
1502,住宅,均价 36000元/平,浙江星晖置业有限公司
1503,别墅,总价 1043(万/套),杭州绿城交投锦溪置业有限公司
1504,写字楼,均价 20000元/平,暂无信息
1505,住宅,均价 54000元/平,杭州融滨昌盛置业有限公司
1506,住宅,均价 14000元/平, 德信地产集团有限公司
1507,别墅,总价 380(万/套),德信地产集团有限公司
1508,住宅,均价 32500元/平,招商局地产（杭州）有限公司
1509,住宅,均价 33500元/平,杭州景晖置业有限公司
1510,住宅,均价 13156元/平,杭州萧山锦翔房地产开发有限公司
1511,住宅,均价 17800元/平,杭州国申房地产开发有限公司
1512,住宅,均价 20000元/平,杭州芳满庭置业有限公司
1513,住宅,均价 28300元/平,暂无信息
1514,住宅,均价 47208元/平,杭州滨远房地产开发有限公司
1515,住宅,均价 23000元/平,杭州新城英冠房地产开发有限公司
1516,住宅,均价 47000元/平,华润置地（杭州）发展有限公司
1517,住宅,均价 19000元/平,建德德旭置业有限公司
1518,住宅,均价 47000元/平,杭州万科亚运村开发有限公司
1519,住宅,均价 25600元/平,杭州星涌置业有限公司
1520,住宅,均价 20000元/平,杭州逸都房地产开发有限公司
1521,住宅,均价 34000元/平,杭州瑞进合能房地产开发有限公司
1522,住宅,均价 38000元/平,杭州星昀置业有限公司
1523,底商,均价 40000元/平,杭州美生美置业有限公司
1524,住宅,均价 25000元/平,杭州保颐置业有限公司
1525,住宅,均价 19800元/平,杭州鸿城置业有限公司
1526,底商,均价 70000元/平,杭州合威置业有限公司
1527,住宅,均价 36000元/平,浙江韬创置业有限公司
1528,商业类,均价 45000元/平,杭州中海启晖房地产有限公司
1529,住宅,均价 28300元/平,杭州金穗房地产开发有限公司
1530,商业类,均价 44000元/平,杭州云起商用置业有限公司
1531,住宅,均价 19800元/平,杭州金蓬置业有限公司
1532,住宅,均价 47000元/平,杭州绿城亚运村开发有限公司
1533,住宅,均价 51700元/平,杭州滨文房地产开发有限公司
1534,住宅,均价 21000元/平,桐庐银悦商业发展有限公司
1535,住宅,均价 10000元/平,杭州高运房地产开发有限公司
1536,住宅,均价 51500元/平,杭州建泽房地产开发有限公司
1537,住宅,均价 36100元/平,湖州祥新房地产开发有限公司
1538,商业类,均价 26000元/平,暂无信息
1539,住宅,均价 37500元/平,暂无信息
1540,住宅,均价 37500元/平,杭州滨胜房地产开发有限公司
1541,住宅,均价 51500元/平,杭州龙宇置业有限公司
1542,住宅,均价 16118元/平,杭州德信临宸置业有限公司
1543,商业,均价 58000元/平,杭州中海海创房地产有限公司
1544,住宅,均价 37100元/平,杭州隽龙置业有限公司
1545,住宅,均价 37710元/平,杭州众安瑞祥房地产开发有限公司
1546,住宅,均价 30000元/平,杭州银沣房地产开发有限责任公司
1547,住宅,均价 40800元/平,杭州绿城浙芷置业有限公司
1548,住宅,均价 37500元/平,杭州滨胜房地产开发有限公司
1549,住宅,均价 18000元/平,杭州东望房地产开发有限公司
1550,住宅,均价 37500元/平,杭州潮悦房地产开发有限公司
1551,住宅,均价 19420元/平,杭州绿城浙超置业有限公司
1552,别墅,总价 330(万/套),杭州绿城浙超置业有限公司
1553,住宅,均价 31500元/平,杭州泛悦置业有限公司
1554,别墅,总价 600(万/套),杭州泛悦置业有限公司
1555,住宅,均价 31500元/平,杭州浙行置业有限公司
1556,商业类,价格待定,浙江百富建设集团有限公司
1557,住宅,均价 23000元/平,杭州轩都房地产开发有限公司
1558,住宅,均价 38000元/平,杭州万懿置业有限公司
1559,底商,均价 50000元/平,中铁诺德（杭州）置业有限公司
1560,住宅,均价 37500元/平,杭州绿城浙佑置业有限公司
1561,住宅,均价 55134元/平,寰华房地产（杭州）有限公司
1562,别墅,均价 67900元/平,寰华房地产（杭州）有限公司
1563,住宅,均价 22000元/平,杭州复禹置业有限公司
1564,住宅,均价 42400元/平,杭州浙谦置业有限公司
1565,住宅,均价 32300元/平,杭州科谊房地产开发有限公司
1566,住宅,均价 40800元/平,杭州茂启房地产开发有限公司
1567,住宅,均价 33000元/平,杭州保汇置业有限公司
1568,住宅,均价 17000元/平,杭州新丝路房地产开发有限公司
1569,住宅,均价 19800元/平,杭州星凝置业有限公司
1570,住宅,均价 22000元/平,杭州曲江新鸥鹏企业运营管理有限责任公司
1571,别墅,价格待定,葛洲坝（杭州）房地产开发有限公司
1572,底商,均价 48000元/平,杭州锦瑜置业有限公司
1573,商业类,价格待定,暂无信息
1574,住宅,均价 30000元/平,杭州万沙置业有限公司
1575,商业类,均价 80000元/平,杭州信达奥体置业有限公司
1576,住宅,均价 50179元/平,浙江中豪房屋建设开发有限公司
1577,住宅,均价 31400元/平,杭州西誉置业有限公司
1578,商业类,价格待定,杭州瑞进合能房地产开发有限公司
1579,住宅,均价 16257元/平,暂无信息
1580,别墅,价格待定,暂无信息
1581,住宅,均价 45000元/平,杭州瑞诚兴联置业有限公司
1582,住宅,均价 37500元/平,杭州滨江房产集团股份有限公司
1583,商业类,价格待定,杭州之一房地产开发有限公司
1584,住宅,均价 69800元/平,杭州滨来置业有限公司
1585,住宅,均价 37500元/平,杭州绿城宁欣置业有限公司
1586,商业类,价格待定,浙江德盛置业有限公司
1587,商业类,价格待定,杭州丰潭实业投资有限公司
1588,住宅,价格待定,暂无信息
1589,商业类,均价 16850元/平,暂无信息
1590,商业类,价格待定,暂无信息
1591,底商,价格待定,杭州泓璟达房地产开发有限公司
1592,别墅,总价 318(万/套),锦兴房地产开发（杭州）有限公司
1593,住宅,价格待定,暂无信息
1594,住宅,价格待定,杭州和祥房地产有限公司
1595,住宅,价格待定,杭州宝嘉房地产开发有限公司
1596,住宅,价格待定,暂无信息
1597,住宅,价格待定,暂无信息
1598,住宅,价格待定,杭州普特房地产开发有限公司
1599,住宅,价格待定,杭州中南嘉伟置业有限公司
1600,住宅,价格待定,九龙仓（杭州）置业有限公司
1601,商业类,价格待定,暂无信息
1602,住宅,价格待定,杭州天祥房地产有限公司
1603,住宅,总价 255(万/套),杭州嘉恒房地产开发有限公司
1604,住宅,价格待定,杭州新湖明珠置业有限公司 
1605,住宅,价格待定, 杭州融创大家房地产开发有限公司 
1606,住宅,价格待定,暂无信息
1607,住宅,价格待定,杭州富力房地产开发有限公司
1608,住宅,价格待定,杭州褐石房地产开发有限公司  
1609,住宅,价格待定,杭州弘竣房地产开发有限公司
1610,别墅,价格待定,杭州铭瑞房地产开发有限公司 
1611,住宅,价格待定,浙江运河协安置业有限公司
1612,住宅,价格待定,杭州融信恺昇房地产开发有限公司
1613,住宅,价格待定,杭州万鼎置业有限公司
1614,住宅,价格待定,港中旅成得（杭州）置业有限公司
1615,住宅,价格待定,杭州鑫瑞置业有限公司
1616,住宅,价格待定, 杭州万霆置业有限公司
1617,住宅,价格待定,杭州越隽房地产开发有限公司
1618,住宅,价格待定,杭州余杭奥克斯古墩置业有限公司
1619,住宅,价格待定,杭州金泽房地产开发有限公司 
1620,住宅,价格待定,浙江港中旅置业有限公司
1621,住宅,均价 28000元/平,浙江和创置业有限公司 
1622,住宅,价格待定,杭州宝仑房地产开发有限公司 
1623,住宅,价格待定,杭州康源置业有限公司
1624,底商,价格待定,和昌地产集团有限公司
1625,别墅,价格待定,浙江南都置业有限公司
1626,住宅,价格待定,杭州宝旭房地产开发有限公司
1627,住宅,价格待定,浙江昆源房地产开发有限公司
1628,商业类,价格待定,和昌地产集团有限公司
1629,住宅,均价 16200元/平,宝龙星创实业（杭州）有限公司
1630,住宅,价格待定,杭州天城房地产开发有限公司
1631,住宅,价格待定,杭州南苑房地产开发有限公司 
1632,住宅,价格待定,杭州品富房地产开发有限公司
1633,住宅,价格待定,杭州中海宏鲲房地产有限公司
1634,住宅,价格待定,杭州云禾置业有限公司
1635,住宅,价格待定,暂无信息
1636,别墅,价格待定,杭州合景房地产开发有限公司
1637,住宅,价格待定,杭州融城置业有限公司
1638,别墅,价格待定,暂无信息
1639,住宅,价格待定,杭州恒都房地产开发有限公司
1640,住宅,价格待定,凯德新业（杭州）房地产开发有限公司
1641,住宅,价格待定,杭州都成置业有限公司
1642,住宅,价格待定,杭州拓江置业有限公司
1643,住宅,价格待定,杭州万凯置业有限公司
1644,住宅,价格待定,杭州富阳融创置业有限公司
1645,住宅,价格待定,杭州赞成置业有限公司
1646,住宅,价格待定,杭州金凌置业有限公司
1647,别墅,总价 1080(万/套),杭州赞成置业有限公司
1648,商业类,均价 40000元/平,杭州东渡房地产开发有限公司
1649,商业类,价格待定,杭州世茂瑞盈置业有限公司 
